Category,Recipe,Protocol,Ingredient Searched,Reason,Caution Products Found,URL
grey_area,Harissa Chicken,K,red salsa,"The recipe depends heavily on the specific red salsa brand used. Commercial red salsa often contains added sugars (typically 2-4g per serving), which would exceed keto carb limits in normal portions. Without knowing the exact product, sugar content is ambiguous.",Goldwater'S Sedona Red Salsa | Pedro'S Medium Red Salsa | La Estrellita Mild Red Salsa | Pedro'S Mild Red Salsa,https://allthehealthythings.com/harissa-chicken
skipped,1-Pot Golden Curry Lentil Soup,LF,,"Lentil quantity is ambiguous for LF compliance. Red lentils in 1 cup quantity may be tolerated in small servings by some LF protocols, but technically legumes are high-FODMAP. Without knowing serving size and individual tolerance, recommend reducing lentil amount by half as safest modification.",,https://minimalistbaker.com/1-pot-golden-curry-lentil-soup
grey_area,30 Minute Honey Garlic Chicken,LF,gochujang,Gochujang is a fermented condiment with mixed FODMAP content and provides defining flavor. Removal may compromise dish identity significantly. Clarification needed on whether the client accepts gochujang removal or prefers to skip LF modification entirely.,Organic Coconut Aminos Gochujang Sauce | Sunny'S Gourmet Products Korean Gochujang | Green Mountain Gringo Gochujang Bbq Sauce,https://www.halfbakedharvest.com/honey-garlic-chicken
skipped,Air Fryer Sweet Potatoes,LF,,"Lime juice quantity (2 TBSP) is moderate and typically tolerable on LF, but some protocols flag excess citrus. Chili powder and smoked paprika are moderate-FODMAP due to dried spice concentration; in small quantities they may be tolerable depending on individual sensitivity.",,https://www.killingthyme.net/air-fryer-sweet-potatoes
no_product_found,Baked Sweet Potato,LF,creamy avocado cilantro lime dressing,"The ingredients list does not specify the recipe for 'creamy avocado cilantro lime dressing'—it may contain garlic, onion, or other high-FODMAP ingredients. Need clarification on dressing components.",,https://www.loveandlemons.com/baked-sweet-potato
grey_area,Bang Bang Chicken Bowls,LF,sweet chili sauce,"Sweet chili sauce and hot sauce ingredients are not fully specified in the recipe. Many commercial versions contain high-FODMAP ingredients (garlic, onion, excess sugar). Verify brand compatibility or substitute with confirmed LF-safe alternatives.",Phillips Pineapple Sweet Chili Sauce,https://www.jaroflemons.com/bang-bang-chicken-bowls
grey_area,Cajun Shrimp and Sausage Skillet,LF,cajun seasoning,"Cajun seasoning composition is variable by brand. Most commercial Cajun mixes contain cumin and possibly fennel, which are high-FODMAP. Verification of the specific seasoning brand's ingredient list would confirm LF compliance.",Nunu'S Original Cajun Seasoning Ohh Yie!,https://healthyfitnessmeals.com/cajun-shrimp-sausage-skillet
no_product_found,Chicken Pozole Verde,LF,poblano chile,"Poblano and jalapeño chiles are moderate-FODMAP depending on individual tolerance and serving size. The recipe cooks them into the broth, so some FODMAP content will leach into the liquid. A strict LF approach would remove them entirely; a more lenient approach would keep them but note the caution. The onion and garlic are clear FODMAP sources that must be addressed via garlic-infused oil and removal.",,https://www.foodandwine.com/recipes/mexican-chicken-pozole-verde
grey_area,Creamy Refried Beans,LF,pinto beans,"Pinto beans are high-FODMAP legumes (GOS content). Per the rules, beans should only be removed when supporting rather than starring. Since this is 'Creamy Refried Beans' where beans ARE the dish, removal would violate the 'do not modify when the ingredient IS the dish' principle. However, the garlic and onion swaps are clear and feasible. The modification is technically possible but the resulting dish would still trigger LF symptoms due to bean FODMAP content, making this a borderline case where the modification is incomplete.",Randall Pinto Beans. Jar,https://www.eatingbyelaine.com/easy-creamy-refried-beans/#tasty-recipes-24127-jump-target
grey_area,Easy Air Fryer Pizza,LF,pizza sauce,"Pizza sauce ingredient list not provided; commercial sauces often contain garlic and onion powder. Italian herbs composition unclear—some blends contain fennel seeds (FODMAP). Without full ingredient transparency, LF compliance is uncertain.","Raley'S Pizza Sauce, Traditional | Brookshire'S Pizza Sauce, Homestyle, Traditional | Hy-Vee Rich & Zesty Pizza Sauce | Hy-Vee Pizza Sauce | Fareway Pizza Sauce",https://www.killingthyme.net/easy-air-fryer-pizza
grey_area,Easy Baked Salmon Sushi Cups,LF,garlic aioli,"Uncertainty on the exact composition of 'egg-free garlic aioli' — if it contains whole garlic rather than garlic-infused oil, clarification needed on replacement ratio.",Avocado Oil Garlic Aioli,https://dishedbykate.com/easy-baked-salmon-sushi-cups
grey_area,Easy Chili Lime Chicken,LF,fresno pepper,"Fresno pepper is a nightshade and not explicitly flagged as high-FODMAP in standard LF protocols, but the recipe is already challenging with honey and garlic; the modification path is complex and may alter the dish's character significantly. Asafoetida is a common LF replacement for onion/garlic depth but is not universally stocked.",Wegmans Red Fresno Pepper | Produce Fresno Pepper | Fresh Red Fresno Peppers,https://www.halfbakedharvest.com/chili-lime-chicken
grey_area,Everything Salmon and Green Pesto Chickpeas,LF,chickpeas,"Chickpeas are legumes (high-FODMAP), but this recipe titles them as a core component ('Chickpeas' in the dish name). Per the rules, when the legume IS the recipe, do not attempt LF modification. However, the chickpeas appear to be a supporting side rather than the primary protein (salmon is). This is a borderline case. If interpreted as supporting, remove the chickpeas entirely. If interpreted as co-starring, skip LF modification. Flagging for clarification.","Off The Eaten Path Rice, Chickpeas, Peas, Black Beans Chickpea Veggie Crisps | Le Conserve Della Nonna Cooked Chickpeas | The Good Bean Chickpeas Drk Choc | The Good Bean Chickpeas Mlk Choc | Banza Elbows Made From Chickpeas",https://www.mob.co.uk/recipes/everything-salmon-green-pesto-chickpeas
skipped,Fall-Apart Tender Braised Beef Chili,LF,,"Uncertainty on whether the recipe can functionally work without onion and garlic as core aromatics in a braised chili. The garlic-infused oil swap will provide some depth, but the loss of raw onion texture and the need to remove/limit peppers reduces confidence in whether the modified dish retains its intended character. Recommend user verification of taste profile post-modification.",,https://playswellwithbutter.com/braised-beef-chili
no_product_found,Grilled Brazilian Steak and Chicken Kabobs,LF,mccormick seasoning packet,McCormick packet ingredient list not fully visible; contains likely high-FODMAP aromatics (garlic/onion powder). Assuming standard formulation based on brand profile.,,https://www.lecremedelacrumb.com/brazilian-steak-chicken-kabobs
skipped,Grilled Tofu,LF,,"The critical unknown is the exact composition of the cilantro lime dressing and sesame ginger dressing. If either contains garlic, onion, or shallots, those must be replaced with garlic-infused oil or scallion greens. Assuming both dressings are either homemade or verified LF, the recipe is compliant with no swaps.",,https://www.loveandlemons.com/grilled-tofu
grey_area,Healthy Chicken Salad Mediterranean,LF,marinated artichoke hearts,"Uncertainty regarding marinated artichoke hearts: commercial preparations often contain garlic or onion in the marinade. If the specific brand is unknown, recommend rinsing thoroughly or confirming the marinade ingredients with the product label.",Cosmo'S Quartered & Marinated Artichoke Hearts | Roland Marinated Artichoke Hearts | Season Marinated Artichoke Hearts | Polar Quartered Marinated Artichoke Hearts | Tuscan Garden Quartered Marinated Artichoke Hearts,https://www.themediterraneandish.com/healthy-chicken-salad-mediterranean
skipped,Honey Mustard Salmon in Foil,LF,,"The recipe references 'honey mustard sauce (see below)' but the full sauce recipe is not provided. If the sauce contains high-FODMAP ingredients (garlic, onion, shallots), additional modifications would be needed. Flagging as uncertain pending sauce ingredient list.",,https://www.gimmesomeoven.com/honey-mustard-salmon-in-foil
grey_area,Honey-Gochujang Shrimp Bowls,LF,gochujang,Gochujang paste ingredient composition varies by brand. Some commercial gochujang may contain garlic or onion as hidden ingredients. Recommend verifying specific brand is garlic/onion-free before confirming native LF compliance.,Organic Coconut Aminos Gochujang Sauce | Sunny'S Gourmet Products Korean Gochujang | Green Mountain Gringo Gochujang Bbq Sauce,https://dishingouthealth.com/gochujang-shrimp-bowls
grey_area,Hot Honey Crispy Salmon Bowls,LF,serrano pepper,Garlic powder and onion powder are dehydrated forms; their FODMAP content is concentrated but typically in small quantities (1/2 teaspoon each). Some strict LF protocols flag them; others tolerate them in trace amounts. The serrano/jalapeño is a definite nightshade trigger. Conservative approach recommends removal/replacement.,"Fresh Serrano Pepper, Green | Empacadora San Marcos Serrano Peppers | Green Serrano Peppers | Produce Serrano Pepper | Serrano Peppers",https://www.halfbakedharvest.com/hot-honey-crispy-salmon-bowls
grey_area,Korean BBQ Steak Bowls with Spicy Sesame Dressing,LF,sambal oelek,Sambal oelek formulation varies by brand; some contain garlic or onion which are high-FODMAP. Soy sauce brand composition unknown; confirm tamari or certified LF soy sauce alternative.,"Ox Brand Ground Red Chili Sambal Oelek | Huy Fong Foods Chili Paste, Ground Fresh, Sambal Oelek",https://pinchofyum.com/korean-bbq-steak-bowls-with-spicy-sesame-dressing
grey_area,New Orleans BBQ Shrimp,LF,worcestershire sauce,"Worcestershire sauce's exact FODMAP content depends on fermentation level and brand. Some sources consider small amounts acceptable in LF; others flag all fermented vinegar-based products. Recipe is safer with tamari substitution, but may be tolerable as written depending on individual sensitivity.","Meijer Worcestershire Sauce | French's Classic Worcestershire Sauce | French'S Classic Worcestershire Sauce, 1 Gallon | French'S Reduced Sodium Worcestershire Sauce",https://www.thecookierookie.com/bbq-shrimp
no_product_found,"Pan-Seared Salmon with Peas, Chanterelles and Dill-Chive Sauce",LF,chanterelles,Chanterelles are fungi and their FODMAP status is not universally established. Some LF protocols exclude all mushrooms; others permit well-tolerated varieties in small amounts. Recommending removal to stay conservative with LF compliance. Leek white parts are explicitly high-FODMAP (fructans); only pale green and dark green parts are permitted.,,https://eye-swoon.com/recipes/pan-seared-salmon-with-peas-chanterelles-and-dill-chive-sauce
no_product_found,Restaurant Style Coconut Rice,LF,kaffir lime leaves,"Kaffir lime leaves and pandan leaves are not explicitly listed in the LF FODMAP trigger list. Pandan leaves are aromatic herb leaves with minimal evidence of high-FODMAP content. Kaffir lime leaves are similarly aromatic and not typically flagged as FODMAP triggers. However, without comprehensive FODMAP data on these specific botanical ingredients, there is minor uncertainty. Recommend treating as LF-safe based on their aromatic profile and common use in LF Southeast Asian recipes.",,https://www.recipetineats.com/fluffy-coconut-rice
no_product_found,"Roasted Leeks with Crème Fraîche, Hazelnuts and Sumac",LF,crme frache,"Leeks are primarily problematic in their white and light green parts; the dark green tops are LF-safe. The recipe calls for 'leeks, trimmed and cut into 3cm thick coins,' which suggests the entire leek is being used. Without explicit confirmation that only dark green portions will be retained, this modification fundamentally changes the dish's texture and volume. Additionally, crème fraîche's FODMAP status depends on lactose content and serving size; standard crème fraîche may be tolerated in small quantities by some LF protocols but not others.",,https://ottolenghi.co.uk/pages/recipes/roasted-leeks-creme-fraiche-hazelnuts-sumac
grey_area,Salmon Sushi Bake (No Rolling),LF,sweet chili sauce,Sweet chili jam/sauce ingredient is ambiguous—some brands contain garlic or onion as hidden FODMAP triggers. Recommend verifying the specific brand used or providing a homemade version with known LF ingredients. Ginger content in sweet chili products is also variable and should be confirmed as tolerable in individual LF protocol.,Phillips Pineapple Sweet Chili Sauce,https://dishedbykate.com/salmon-sushi-bake
grey_area,Salmon and Lentil Salad,LF,pickled beets,"Pickled/marinated beets are fermented products, which are typically low-FODMAP but high-histamine. The LF protocol focuses on FODMAPs, so they should be acceptable, but there's a cross-protocol consideration here. Confirm brand does not contain garlic or onion additives.","The Dutch Kettle Pickled Beets, Home Style | Freshlike Selects Sliced Pickled Beets | Stop & Shop Sliced Pickled Beets | Safie Sweet Pickled Beets | Kuner'S Sliced Sweet Pickled Beets",https://dishingouthealth.com/salmon-and-lentil-salad
skipped,"Sausage, Potato and Kale Soup",LF,,"Potatoes in soups are technically moderate-FODMAP in large servings. Standard protocol is not to modify LF for potato-based soups since removal would fundamentally change the dish, but this is an edge case where the recipe could alternatively use cauliflower florets as substitute. Flagging as uncertain because LF compliance depends on portion size.",,https://www.allrecipes.com/recipe/231287/sausage-potato-and-kale-soup
skipped,Scalloped Potatoes Recipe,LF,,"Removing both onion AND garlic, the classic aromatic base of béchamel, significantly diminishes the dish's traditional flavor profile. While technically compliant with LF rules, the modification may result in a noticeably bland result. Consumer tolerance for this compromise varies.",,https://www.gimmesomeoven.com/scalloped-potatoes-recipe
no_product_found,Sheet Pan Salmon with Moroccan Apricot Glaze,LF,moroccan spice blend,"Moroccan spice blends vary by brand and source. Some commercial blends may contain garlic powder or onion powder as hidden high-FODMAP ingredients. Without the specific brand/ingredient list of the spice blend, full confidence is not possible.",,https://killingthyme.net/2021/05/03/sheet-pan-salmon-with-moroccan-apricot-glaze
no_product_found,Shrimp Taco Salad,LF,ranch seasoning powder,"Uncertainty on store-bought ranch seasoning powder: commercial blends often contain garlic powder, onion powder, and/or other FODMAP ingredients. Recommend client verify the specific brand or replace with homemade LF-safe seasoning (salt, dried herbs, specified spices only).",,https://www.thekitchn.com/shrimp-taco-salad-recipe-23673508#post-recipe-668670200
grey_area,Spiced Chicken with Vinegar Potatoes,LF,scallion,"Recipe includes scallions, which are generally LF-safe using dark green tops only. However, the ingredient list does not specify which parts are used. If the entire scallion (including white/light green parts) is used, LF modification would require removing them entirely, which would significantly impact the dish. Assuming standard culinary practice of using mostly green tops makes the modification viable, but this warrants clarification.",Sendik'S Bacon & Scallion Twice Baked Potato,https://www.alisoneroman.com/recipes/chile-butter-chicken-with-vinegared-potatoes
no_product_found,Spicy Chicken Pasta,LF,sun-dried tomato paste,Sun-dried tomato paste FODMAP content is context-dependent. Some LF protocols tolerate small amounts (1-2 tbsp); others eliminate all concentrated tomato products. Marked uncertain due to ambiguous severity threshold in the ingredient list.,,https://www.mob.co.uk/recipes/spicy-chicken-pasta
grey_area,Swedish Meatballs,LF,worcestershire sauce,Uncertainty on whether standard Worcestershire sauce contains hidden FODMAP ingredients beyond those listed; recommend verifying brand. Allspice and nutmeg are not high-FODMAP but should be confirmed as tolerated by individual. Sour cream option contains lactose; specify lactose-free sour cream if using dairy option.,"Meijer Worcestershire Sauce | French's Classic Worcestershire Sauce | French'S Classic Worcestershire Sauce, 1 Gallon | French'S Reduced Sodium Worcestershire Sauce",https://www.feastingathome.com/swedish-meatballs-2
skipped,Tarragon Chicken Skewers,LF,,"Uncertainty on whether the full 2 1/2 cups Greek yogurt serving size is within standard LF protocols; some practitioners restrict full-fat yogurt due to lactose concentration. Flagging for confirmation that portion size is acceptable, or suggesting lactose-free Greek yogurt as safer alternative.",,https://cooking.nytimes.com/recipes/1021082-grilled-chicken-skewers-with-tarragon-and-yogurt
grey_area,Warm Green Bean and Lentil Salad,LF,lentils,"Lentils are borderline on some LF protocols (GOS content varies by preparation); home-cooked lentils are sometimes tolerated in small amounts but shop-bought are riskier. Cashews are also borderline (moderate FODMAP in serving sizes >23g; this recipe uses 140g). The safest approach is removal, but this fundamentally changes the dish's protein and richness. Marking uncertain because clinical LF protocols differ on legume tolerance post-cooking.","Natural Value Organic Lentils | Truroots  Certified Usda Organic Non Gmo Project Verified Organic Sprouted Green Lentils | Cybele'S Free To Eat Rotini, Green Lentils, Kale, Broccoli, And Spinach | Veggiecraft Farms Penne Made With Lentils, Peas & Zucchini | Brookshire'S Lentils",https://ottolenghi.co.uk/pages/recipes/warm-green-bean-and-lentil-salad
grey_area,Weeknight Gochujang Shrimp Tacos,LF,gochujang,"Gochujang sauce ingredients are not specified and may contain garlic, onion, or other high-FODMAP components. Brand verification needed for full LF compliance.",Organic Coconut Aminos Gochujang Sauce | Sunny'S Gourmet Products Korean Gochujang | Green Mountain Gringo Gochujang Bbq Sauce,https://www.orchidsandsweettea.com/gochujang-shrimp-tacos
grey_area,Zucchini Fritters with Feta and Dill,LF,scallion,"The scallion question: the white and light green parts contain fructans, but minced scallions in a fried fritter may leach fructans at lower concentrations. The safest approach is to use green parts only, but many LF protocols tolerate small amounts of minced scallion in cooked dishes. Flagging as uncertain due to this gray area.",Sendik'S Bacon & Scallion Twice Baked Potato,https://www.onceuponachef.com/recipes/zucchini-fritters-with-feta-and-dill.html
grey_area,1-Pot Golden Curry Lentil Soup,LH,curry powder,"Serrano pepper removal is certain, but lemon/lime juice tolerance varies by individual LH protocol strictness. Some allow small garnish amounts; others restrict all citrus. Curry powder ingredient list unknown—if homemade (recipe linked), assumed safe, but store-bought may contain problematic spices.",Festival Curry Powder | Grace Ct Hot Curry Powder | Sugar 'N Spice Curry Powder | Caribbean Rhythms Mild Curry Powder | Simple Truth Organic Ground Curry Powder,https://minimalistbaker.com/1-pot-golden-curry-lentil-soup
grey_area,1-Pot Lentil Green Curry,LH,green curry paste,"Green curry paste typically contains fermented and aged ingredients (garlic, spices, possibly fish paste), which are high-histamine. Specific paste composition is unknown. Curry powder formulations vary; many contain aged spices. Without ingredient verification, full LH compliance cannot be guaranteed. The modification notes above assume a verified LH-safe curry base or homemade alternative.",Gluten Free Green Curry Paste | Thai Kitchen Gluten Free Green Curry Paste,https://minimalistbaker.com/1-pot-lentil-dal
no_product_found,1-Pot Vegan Lentil Soup,LH,garlic infused oil,"Black pepper removal is clear, but garlic and shallot fermentation status depends on client's specific LH protocol strictness. Raw garlic is often better tolerated than aged garlic, but the recipe suggests garlic-infused oil as an option which some strict LH protocols may restrict.",,https://minimalistbaker.com/1-pot-everyday-lentil-soup
skipped,20-Minute Chimichurri Shrimp,LH,,"Black pepper is flagged as a potential histamine trigger in some strict LH protocols, though it is commonly tolerated. Without client clarification on LH stringency level, uncertain whether to recommend removal. Assuming moderate LH protocol where black pepper is permitted.",,https://www.servingdumplings.com/recipe/chimichurri-shrimp
grey_area,20-Minute Fried Chicken Tenders,LH,prepared horseradish,Sesame seeds are technically low-histamine but should be removed per AIP/allergic constraints; inclusion here is unclear if LH is the protocol. Horseradish freshness matters for histamine content. Prepared horseradish (bottled) may contain additives or develop histamine.,Bowl & Basket Specialty Prepared Horseradish | Viata Prepared Horseradish | Prepared Horseradish | Stop & Shop Fresh Ground Prepared Horseradish | Schnitzius Prepared Horseradish,https://somuchfoodblog.com/crispy-fried-chicken-tenders
grey_area,Air Fryer Greek Chicken,LH,tzatziki,LH protocol is clinically specialized and context-dependent. Tomato tolerance and lemon quantity thresholds vary by individual protocol strictness. Uncertainty exists on whether store-bought tzatziki contains high histamine from fermentation/aging.,"Trazza Tzatziki Sauce | Cava Tzatziki Sauce | Full Circle Market, Tzatziki Dip | Tzatziki Yogurt Dip - Good &#38; Gather&#8482; | Whole Foods Market Tzatziki",https://www.kitchensanctuary.com/air-fryer-greek-chicken
grey_area,Asian Grilled Shrimp,LH,chilli,"Low-histamine compliance depends on individual sensitivity thresholds. Small amounts of garlic and citrus are often tolerated, but strict LH protocols may flag them. The chilli is clearly problematic and must be removed.",Veeba Sweet Chilli Sauce | Schilling Excelsior Ground Control 0.0 % Abv Cherry Non-Alcoholic Cider | Tiger Tiger Sriracha Hot Chilli Sauce | Lovin' Body Himalayan Pink Rock Salt With Crushed Chilli With Grinder | Taj Gourmet Foods Chilli Crushed,https://www.recipetineats.com/asian-grilled-shrimp-prawns-bbq-or-stove
grey_area,BBQ Tofu,LH,bbq sauce,Specific BBQ sauce ingredients not listed; vinegar content assumed but not confirmed.,Kroger Whiskey Bbq Sauce & Peppercorn Dry Rub Rock N' Roll Chicken | Cades Cove Hickory Smoked Pulled Pork With Tasty Vinegar Bbq Sauce,https://www.loveandlemons.com/bbq-tofu
grey_area,BBQ Vegan Black Bean Burgers,LH,bbq sauce,"LH protocol tolerance for fresh tomato, BBQ sauce brand specifics, and worcestershire alternatives vary by individual sensitivity level. Barbecue sauce fermentation status is unclear from ingredient list.",Kroger Whiskey Bbq Sauce & Peppercorn Dry Rub Rock N' Roll Chicken | Cades Cove Hickory Smoked Pulled Pork With Tasty Vinegar Bbq Sauce,https://thefirstmess.com/2023/05/17/bbq-vegan-black-bean-burgers/#recipe
grey_area,Baked Stuffed Tomatoes,LH,tomato,LH protocols vary on fresh tomato tolerance depending on clinical severity. Some protocols restrict tomato in baked/concentrated forms; here tomatoes are the vessel. Recommend consulting patient-specific LH guidelines before final approval.,"Full Circle Market, Tomato Basil Chunky Soup | Frontier Soups Homemade In Minutes Mississippi Delta Tomato Basil Soup Mix | Just Tomatoes Mangos | Calhoun Bend Coating Mix, Fried Green Tomato | Boar'S Head Ham Rosemary & Sundried Tomato",https://dishingouthealth.com/baked-stuffed-tomatoes
grey_area,Balsamic Bacon Brussels Sprouts,LH,balsamic vinegar,"Balsamic vinegar replacement significantly alters the dish's signature flavor. Also, bacon is inherently moderately high-histamine due to curing/smoking processes. The recipe may be functionally LH but the flavor profile is substantially changed.",Capatriti - Balsamic Vinegar | Blackstone Deli Style Sea Salt & Balsamic Vinegar Flavoured Slow Cooked Potato Chips,https://downshiftology.com/recipes/balsamic-bacon-brussels-sprouts
grey_area,Bang Bang Chicken Bowls,LH,chili sauce,"Sweet chili sauce and hot sauce are proprietary products with unknown fermentation or aging status. Many commercial versions contain aged or fermented ingredients (vinegar, etc.) that violate LH protocol. Without brand specification, recommend removal or substitution with fresh chili-based alternatives.","Roland Chili Sauce, Garlic | Waterfront Bistro Shrimp Coconut With Sweet Chili Sauce | Three Mountains Brand Green Sriracha Chili Sauce | H-E-B  Tempura-Style Breaded Shrimp With Sweet Chili Sauce | Kroger Crunchy Coconut Shrimp W/ Sweet Chili Sauce",https://www.jaroflemons.com/bang-bang-chicken-bowls
grey_area,Bang Bang Shrimp,LH,sriracha,"Sriracha is fermented and high-histamine, but the degree of fermentation and individual tolerance varies. Kewpie mayo (if used) may have slightly elevated histamine from egg processing. Sesame oil is a seed oil and typically avoided on strict LH. Confidence on the sriracha swap is moderate.",Tiger Tiger Sriracha Hot Chilli Sauce | Three Mountains Brand Green Sriracha Chili Sauce | Ht Traders Sriracha Sauce,https://www.acozykitchen.com/bang-bang-shrimp
grey_area,Beef Shawarma,LH,tahini sauce,"Tahini sauce recipe not provided; tahini itself is low-histamine, but if the sauce contains fermented components (miso, vinegar) or aged ingredients, it would require modification. Assuming a simple tahini-lemon-oil sauce, the modification stands as written.",Trader Joe's Herbed Tahini Sauce | Teazza Foods Garlic Tahini Sauce,https://www.themediterraneandish.com/grilled-beef-shawarma/#wprm-recipe-container-10365
grey_area,Beef Shawarma Recipe,LH,tahini,Tahini sauce composition unknown; fermented tahini or anchovy-based versions would be high-histamine and cannot be modified.,Achva Tahini Crushed Sesame Seeds | Mighty Sesame Co. Pistachio Tahini Bar | Tarazi Tahini | Belazu Authentic Tahini | Soom Foods Soom Premium Tahini,https://www.themediterraneandish.com/grilled-beef-shawarma
grey_area,Blackened Fish Tacos,LH,chili powder,"Low-histamine is a highly individualized protocol. The removal of chili powder, paprika, and black pepper significantly changes the 'blackened' character of the dish. Jalapeño as a fresh vegetable in small quantity (½ pepper) sits in a gray zone depending on whether the protocol is strict or moderate. Unclear if this modification preserves the dish identity sufficiently.",Sauer'S Chili Powder Blend | Private Selection Six Chili Powder,https://fedandfit.com/blackened-fish-tacos/#wprm-recipe-container-19352
grey_area,Bourbon Glazed Carrots with Ginger and Rosemary,LH,lemon zest,"Low-histamine protocols vary on citrus tolerance. Small amounts of fresh zest are often permitted, but some strict LH protocols flag excess citrus. The current recipe has moderate citrus (8 strips lemon + 8 strips orange zest plus 2.5 tsp juice), which is borderline. Recommend clarifying the individual's specific LH guidelines.",Montchevre Goat Log Lemon Zest | S.Pellegrino Essenza Lemon & Lemon Zest Flavored Mineral Water | English Whte Stilton With Lemon Zest | S.Pellegrino Essenza Lemon Zest Flavored Mineral Water Can | S.Pellegrino Essenza Lemon Zest Flavored Mineral Water,https://ottolenghi.co.uk/pages/recipes/bourbon-glazed-carrots-ginger-rosemary
