Recipe Title,URL,Blogger Name,Alignment Score,Meal Type,Cuisine Style,Rating,Notes,V,V Mod,V Mod Notes,Vg,Vg Mod,Vg Mod Notes,GF,GF Mod,GF Mod Notes,DF,DF Mod,DF Mod Notes,LH,LH Mod,LH Mod Notes,LF,LF Mod,LF Mod Notes,AIP,AIP Mod,AIP Mod Notes,K,K Mod,K Mod Notes,Protein,Entree Type
One Pan Moroccan Chicken and Chickpeas,https://dishingouthealth.com/moroccan-chicken-and-chickpeas/,Dishing Out Health,93.0,Entree,Middle Eastern,5.0 (27 ratings),One-pan; spiced chicken thighs with chickpeas,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,One-Pan
Chickpea and Rice Soup,https://dishingouthealth.com/chickpea-and-rice-soup/,Dishing Out Health,93.0,Entree,Middle Eastern,5.0 (30 ratings),"Hearty, vegetarian",0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Tuscan Turkey and White Bean Skillet,https://dishingouthealth.com/tuscan-turkey-and-white-bean-skillet/,Dishing Out Health,93.0,Entree,Italian,5.0 (25 ratings),One-pan; high protein & fiber,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Turkey,One-Pan
Olive-Citrus Slow Roasted Salmon,https://dishingouthealth.com/olive-citrus-slow-roasted-salmon/,Dishing Out Health,93.0,Entree,Mediterranean,5.0 (2 ratings),"Castelvetrano olives, citrus slices",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Roasted/Baked
Creamy Coconut Chicken Satay Meatballs,https://dishingouthealth.com/creamy-coconut-chicken-satay-meatballs/,Dishing Out Health,93.0,Entree,Asian,5.0 (4 ratings),Coconut-peanut sauce; Feb 2026,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
,,,,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,
,,,,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,
Halal-Cart Copycat Chicken Shawarma Bowls,https://somuchfoodblog.com/chicken-shawarma-bowls/,So Much Food Blog,95.0,Entree,Middle Eastern,5.0 (1 rating),"Quick, healthy, balanced weeknight dinner",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Bowl
Weeknight Greek Chicken Gyros,https://somuchfoodblog.com/greek-chicken-gyros/,So Much Food Blog,95.0,Entree,Mediterranean,5.0 (35 ratings),Tzatziki; pantry staples; meal prep option,0,0,,0,0,,1,0,,0,1,Sub yogurt → coconut yogurt for DF,0,0,,0,0,,0,0,,0,0,,Chicken,Tacos/Wraps
Apple Cider Braised Chicken Thighs,https://somuchfoodblog.com/apple-cider-braised-chicken-thighs/,So Much Food Blog,95.0,Entree,American,5.0 (2 ratings),One-pan; crispy skin; savory-sweet sauce,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,One-Pan
30-Minute Sticky Sesame Ginger Meatballs,https://somuchfoodblog.com/sesame-ginger-meatballs/,So Much Food Blog,95.0,Entree,Asian,5.0 (13 ratings),Pork+chicken combo; sticky ginger-garlic-sesame sauce,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Easy One-Pan Mexican Picadillo,https://somuchfoodblog.com/mexican-picadillo/,So Much Food Blog,95.0,Entree,Latin/South American,5.0 (10 ratings),"Ground beef, tomatoes, potatoes; authentic; one-pan",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,One-Pan
Quick Chicken Pho,https://somuchfoodblog.com/quick-chicken-pho/,So Much Food Blog,95.0,Entree,Asian,5.0 (6 ratings),Shortcut 90-minute version; chicken-based,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Grilled Greek Chicken Salad,https://somuchfoodblog.com/grilled-greek-chicken-salad/,So Much Food Blog,95.0,Entree,Mediterranean,5.0 (3 ratings),"Marinated chicken, fresh veggies, Greek flavors",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Salad
Moroccan Chicken Recipe,https://www.feastingathome.com/moroccan-chicken/,Feasting at Home,93.0,Entree,Middle Eastern,5.0 (44 ratings),Savory sticky Asian sauce; fast; vegan,1,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Turkish Red Lentil Soup,https://www.feastingathome.com/turkish-red-lentil-soup/,Feasting at Home,93.0,Entree,Middle Eastern,5.0 (55 ratings),Restaurant-style; quick weeknight,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Cauliflower Curry Recipe,https://www.feastingathome.com/roasted-cauliflower-curry/,Feasting at Home,93.0,Entree,Asian,5.0 (13 ratings),Vegan-friendly,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Vegetable,Soup/Stew
Mujadara Recipe (Instant Pot & Stovetop),https://www.feastingathome.com/mujaddara/,Feasting at Home,93.0,Entree,Middle Eastern,4.8 (97 ratings),Lentils and rice; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Entree
Pad Thai,https://www.feastingathome.com/pad-thai-recipe/,Feasting at Home,94.0,Entree,Asian,4.93 (24 ratings),Tofu/chicken/shrimp adaptable; under 15 min,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Noodles
Oven Roasted Salmon with Braised French Lentils,https://www.feastingathome.com/salmon-with-braised-french-lentils/,Feasting at Home,94.0,Entree,Mediterranean,5.0 (27 ratings),Elegant; high-protein; gluten-free,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Roasted/Baked
Baked Gnocchi with Kale and Sausage,https://www.feastingathome.com/baked-gnocchi-with-kale-sausage/,Feasting at Home,94.0,Entree,Italian,5.0 (20 ratings),One-pan; 30 min; melty mozzarella,,,,,,,,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,1,,,Pork,Pasta
Marry Me Salmon,https://themodernproper.com/marry-me-salmon,The Modern Proper,94.0,Entree,American,5.0 (7 ratings),Creamy sun-dried tomato sauce; elegant weeknight,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Entree
Sheet Pan Salmon Dinner With Broccoli,https://themodernproper.com/asian-salmon-sheet-pan-dinner,The Modern Proper,94.0,Entree,Asian,5.0 (17 ratings),Garlic-soy marinade; 30 min; easy cleanup,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Sheet Pan
Marry Me Chicken,https://themodernproper.com/marry-me-chicken,The Modern Proper,94.0,Entree,American,5.0 (121 ratings),Creamy sun-dried tomato; extremely popular,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Marry Me Chicken Pasta,https://themodernproper.com/marry-me-chicken-pasta,The Modern Proper,94.0,Entree,Italian,5.0 (3 ratings),Silky sun-dried tomato sauce; one-pot,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Creamy Chicken Orzo,https://themodernproper.com/creamy-chicken-orzo,The Modern Proper,94.0,Entree,American,4.8 (76 ratings),Risotto-style orzo; gently flavored broth,0,0,,0,0,,0,0,,0,1,Sub cream → full-fat coconut cream for DF,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
One Pot Creamy Mediterranean Chicken Pasta,https://themodernproper.com/one-pot-creamy-mediterranean-chicken-pasta,The Modern Proper,94.0,Entree,Mediterranean,5.0 (5 ratings),"Lemons, olives; 45 min; one pot",0,0,,0,0,,0,0,,0,1,Sub cream → full-fat coconut cream for DF,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Grilled Pork Tenderloin with Chimichurri,https://themodernproper.com/grilled-pork-tenderloin-with-chimichurri,The Modern Proper,94.0,Entree,Latin/South American,4.9 (17 ratings),Lean protein; cross-marinade potential,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Pork,Grilled
Creamy Chicken Tortellini Soup,https://themodernproper.com/creamy-chicken-tortellini-soup,The Modern Proper,94.0,Entree,Italian,5.0 (15 ratings),Cheese tortellini; veggies; cozy,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
Chicken Fajita Pasta,https://tastesbetterfromscratch.com/chicken-fajita-pasta/,Tastes Better From Scratch,94.0,Entree,Latin/South American,4.79 (57 ratings),One-pan; fajita flavors in pasta form,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Mongolian Noodles,https://tastesbetterfromscratch.com/mongolian-noodles/,Tastes Better From Scratch,94.0,Entree,Asian,4.58 (7 ratings),"Ground beef, ramen noodles; bold sauce; 30 min",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Noodles
Lasagna Soup,https://tastesbetterfromscratch.com/lasagna-soup/,Tastes Better From Scratch,94.0,Entree,Italian,"5.0 (4,798 ratings)","Ground beef, sausage, spinach, three cheeses",,,,,,,1,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Beef,Pasta
Lemon Chicken Pasta,https://tastesbetterfromscratch.com/lemon-parmesan-chicken-pasta/,Tastes Better From Scratch,94.0,Entree,Italian,4.95 (169 ratings),"Bright, fresh; under 30 min",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Tomato Basil Pasta,https://tastesbetterfromscratch.com/tomato-basil-chicken-pasta/,Tastes Better From Scratch,94.0,Entree,Italian,4.92 (25 ratings),"Juicy tomatoes, fresh basil, garlic, parmesan",,,,,,,,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Pasta,Pasta
Garlic & Honey Baked Rosemary Chicken,https://www.jaroflemons.com/one-pot-honey-rosemary-chicken/,Jar of Lemons,94.0,Entree,American,4.73 (40 ratings),One-pan; healthy weeknight; whole30 friendly,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,One-Pan
Sticky Garlic Butter Chicken Bowls,https://www.jaroflemons.com/sticky-garlic-butter-chicken-bowls/,Jar of Lemons,94.0,Entree,Asian,5.0 (7 ratings),42g protein; 35 min; bowl meal,0,0,,0,0,,1,0,,0,1,Sub butter → olive or coconut oil for DF,0,0,,0,0,,0,0,,0,0,,Chicken,Bowl
Spicy Ramen Recipe (Chicken Broth Ramen),https://www.jaroflemons.com/spicy-chicken-ramen/,Jar of Lemons,94.0,Entree,Asian,4.91 (33 ratings),Healthy; sriracha chicken; organic ramen,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Noodles
Honey Mustard Pretzel Chicken Bowls,https://www.jaroflemons.com/honey-mustard-pretzel-chicken-bowls/,Jar of Lemons,94.0,Entree,American,5.0 (9 ratings),Crispy pretzel crust; swap chicken for salmon,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Bowl
Mediterranean Chicken Recipe,https://www.themediterraneandish.com/one-skillet-mediterranean-chicken-recipe/,The Mediterranean Dish,94.0,Entree,Mediterranean,5.0 (88 ratings),"Quick, bold Mediterranean flavors; one-skillet",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,One-Pan
Baked Boneless Chicken Thighs with Baharat,https://www.themediterraneandish.com/baharat-baked-chicken-thighs/,The Mediterranean Dish,94.0,Entree,Middle Eastern,4.95 (100 ratings),Baharat spices; bold garlic-olive oil marinade; with potatoes,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Roasted/Baked
Mediterranean Shrimp with Bell Peppers,https://www.themediterraneandish.com/easy-shrimp-recipe/,The Mediterranean Dish,94.0,Entree,Mediterranean,4.83 (223 ratings),"25 min; white wine olive oil sauce; shallots, bell peppers",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Seafood,Entree
Beef Shawarma Recipe,https://www.themediterraneandish.com/grilled-beef-shawarma/,The Mediterranean Dish,94.0,Entree,Middle Eastern,4.93 (67 ratings),Homemade shawarma spice; pita + tahini; cross-protein swap,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Entree
Sicilian-Style Fish Stew Recipe,https://www.themediterraneandish.com/sicilian-fish-stew/,The Mediterranean Dish,94.0,Entree,Mediterranean,4.9 (54 ratings),"6-star review worthy; white wine-tomato; capers, raisins",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Fish,Soup/Stew
Lamb Kabobs,https://www.themediterraneandish.com/lamb-kabobs/,The Mediterranean Dish,94.0,Entree,Middle Eastern,4.79 (101 ratings),Juiciest kabobs; herb spiced; cross-protein potential,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Lamb,Grilled
Paella with Chicken and Seafood,https://www.themediterraneandish.com/spanish-paella-with-chicken-and-seafood/,The Mediterranean Dish,94.0,Entree,Mediterranean,5.0 (1 rating),"Saffron rice; shrimp, calamari, mussels; showstopper",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Italian Pasta Salad Recipe,https://www.themediterraneandish.com/italian-pasta-salad/,The Mediterranean Dish,94.0,Side Dish,Italian,4.86 (57 ratings),Crowd-pleasing side; BBQ/picnic/potluck,,1,Use plant-based dairy alternatives.,1,,,,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Pasta,Pasta
Greek Pasta Salad,https://www.themediterraneandish.com/greek-pasta-salad/,The Mediterranean Dish,94.0,Side Dish,Mediterranean,5.0 (61 ratings),"Feta, olives, capers; Greek dressing",,1,Use plant-based dairy alternatives.,1,,,,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Pasta,Pasta
Mediterranean Orzo Salad,https://www.themediterraneandish.com/orzo-salad/,The Mediterranean Dish,94.0,Side Dish,Mediterranean,4.87 (88 ratings),Mediterranean veg; versatile side,,1,Use plant-based dairy alternatives.,1,,,,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Pasta,Pasta
Mediterranean Salmon,https://www.themediterraneandish.com/baked-salmon-with-vegetables/,The Mediterranean Dish,94.0,Entree,Mediterranean,4.96 (65 ratings),Sheet pan; healthy; 20 min,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Entree
Shrimp Pasta,https://www.themediterraneandish.com/shrimp-pasta-recipe/,The Mediterranean Dish,94.0,Entree,Mediterranean,4.73 (369 ratings),"Garlicky shrimp, tomatoes, lemon juice; light sauce",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Seafood,Pasta
Veggie Black Bean Enchiladas,https://cookieandkate.com/vegetarian-enchiladas-recipe/,Cookie and Kate,93.0,Entree,Latin/South American,4.9 (708 ratings),Highly rated reader favorite; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Vegetarian,Tacos/Wraps
Pasta e Fagioli (Italian Pasta & Beans),https://cookieandkate.com/pasta-e-fagioli-recipe/,Cookie and Kate,93.0,Entree,Italian,5.0 (422 ratings),Vegetarian; white bean pasta soup,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Roasted Veggie Enchilada Casserole,https://cookieandkate.com/vegetarian-enchilada-casserole-recipe/,Cookie and Kate,93.0,Entree,Latin/South American,4.9 (345 ratings),Vegetarian; roasted veggies; reader favorite,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Vegetarian,Tacos/Wraps
Spring Veggie Stir-Fry,https://cookieandkate.com/veggie-stir-fry-recipe/,Cookie and Kate,93.0,Entree,Asian,5.0 (83 ratings),"5-star reviews; mushrooms, tofu variant; vegetarian",0,0,,1,0,,0,1,Sub soy sauce → tamari for GF,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Stir-Fry
Chickpea Noodle Soup,https://cookieandkate.com/chickpea-noodle-soup-recipe/,Cookie and Kate,91.0,Entree,American,4.9 (232 ratings),Full category page; all vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Noodles
Salmon with Burst Tomato Sauce,https://www.gimmesomeoven.com/salmon-with-burst-tomato-sauce/,Gimme Some Oven,92.0,Entree,Mediterranean,5.0 (28 ratings),Most-made dinner recipe on site; garlicky creamy tomato sauce,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Entree
Baked Salmon,https://www.gimmesomeoven.com/baked-salmon-recipe/,Gimme Some Oven,92.0,Entree,American,4.9 (39 ratings),Most-requested fish recipe; lemon garlic,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Roasted/Baked
Garlic Lovers' Spaghetti,https://www.gimmesomeoven.com/garlic-lovers-spaghetti-recipe/,Gimme Some Oven,92.0,Entree,Italian,5.0 (7 ratings),"Quick, ultra-garlicky buttery; vegetarian",0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Salmon Fajitas,https://www.gimmesomeoven.com/salmon-fajitas/,Gimme Some Oven,92.0,Entree,Latin/South American,5.0 (1 rating),Healthy; colorful; cross-protein swap,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Tacos/Wraps
Pasta Fresca,https://www.gimmesomeoven.com/pasta-fresca/,Gimme Some Oven,92.0,Entree,Italian,5.0 (3 ratings),"Fresh tomatoes, basil; summer pasta; vegetarian",0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Easy Sheet Pan Salmon Dinner,https://www.ambitiouskitchen.com/sheet-pan-salmon/,Ambitious Kitchen,90.0,Entree,American,4.84 (12 ratings),~40g protein; 10 min prep; chickpeas,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Sheet Pan
Damn Good Salmon Taco Bowls For Two,https://www.ambitiouskitchen.com/salmon-taco-bowls/,Ambitious Kitchen,90.0,Entree,Latin/South American,4.99 (123 ratings),Taco seasoned salmon; homemade sofrito rice,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Tacos/Wraps
The Best Healthy Hamburger Helper,https://www.ambitiouskitchen.com/hamburger-helper/,Ambitious Kitchen,90.0,Entree,American,4.95 (111 ratings),Lightened-up; lean ground turkey; homemade sauce,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Turkey,Sandwich/Burger
One Pan Chicken Caprese Baked Orzo,https://www.ambitiouskitchen.com/chicken-caprese-orzo-bake/,Ambitious Kitchen,90.0,Entree,Italian,5.0 (12 ratings),"Tomato, mozzarella, basil; one-pan family favorite",,,,,,,,,,,,,,,,,,,,,,,,,Chicken,Pasta
Pasta Primavera,https://www.loveandlemons.com/pasta-primavera/,Love and Lemons,90.0,Entree,Italian,4.99 (100 ratings),"Vegetarian; light, fresh; colorful veggies",0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Roasted Vegetable Pasta,https://www.loveandlemons.com/roasted-vegetable-pasta/,Love and Lemons,90.0,Entree,Italian,4.98 (37 ratings),Vegetarian; 30 min; farmers market inspired,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Vegetarian,Pasta
One Pot Penne Pasta,https://www.loveandlemons.com/vegetable-penne-pasta/,Love and Lemons,90.0,Entree,Italian,NR,Vegetables cook in pot with pasta; easy cleanup; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Minestrone Soup,https://www.loveandlemons.com/minestrone-soup/,Love and Lemons,90.0,Entree,Italian,4.96 (662 ratings),Vegetarian; veggie-packed; Italian comfort,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Vegetable,Soup/Stew
Zucchini Pasta,https://www.loveandlemons.com/zucchini-pasta/,Love and Lemons,90.0,Entree,Italian,4.87 (36 ratings),Summer zucchini abundance; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Creamy Vegan Pasta,https://www.loveandlemons.com/vegan-pasta/,Love and Lemons,90.0,Entree,Italian,3.5 (49 ratings),White bean sauce; vegan; healthy,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Vegetarian,Pasta
Slow-Roasted Salmon with French Herb Salsa,https://www.onceuponachef.com/recipes/slow-roasted-salmon-with-french-herb-salsa.html,Once Upon a Chef,89.0,Entree,Mediterranean,5.0 (144 ratings),Low-and-slow method; nearly impossible to overcook,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Roasted/Baked
Restaurant-Style Pan-Seared Salmon,https://www.onceuponachef.com/recipes/restaurant-style-pan-seared-salmon.html,Once Upon a Chef,89.0,Entree,American,4.88 (305 ratings),Golden-crisp top; elegant weeknight,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Seared/Fried
Teriyaki Salmon,https://www.onceuponachef.com/recipes/teriyaki-salmon.html,Once Upon a Chef,89.0,Entree,Asian,4.91 (69 ratings),"Sweet, savory, satisfying; jasmine rice; quick weeknight",0,0,,0,0,,0,1,Sub soy sauce → tamari for GF,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Entree
Pan-Seared Salmon with Soy Mustard Glaze,https://www.onceuponachef.com/recipes/pan-seared-salmon-with-soy-mustard-glaze.html,Once Upon a Chef,89.0,Entree,Asian,4.97 (38 ratings),Soy-mirin-sherry vinegar glaze; elegant,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Seared/Fried
"Corn, Zucchini & Tomatoes with Goat Cheese",https://www.onceuponachef.com/recipes/corn-zucchini-tomatoes-with-goat-cheese.html,Once Upon a Chef,89.0,Side Dish,American,4.92 (59 ratings),"Pairs with chicken, salmon, or steak; vegetarian side",0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Chicken Tacos,https://www.onceuponachef.com/recipes/chicken-tacos.html,Once Upon a Chef,89.0,Entree,Latin/South American,4.82 (138 ratings),Kid-approved; bold spices; ground chicken,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Tacos/Wraps
Paprika Chicken Pasta,https://pinchofyum.com/paprika-chicken-pasta,Pinch of Yum,88.0,Entree,American,4.6 (20 ratings),Baked chicken; creamy paprika sauce; popular,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
Creamy Chicken and Gnocchi,https://pinchofyum.com/creamy-chicken-and-gnocchi,Pinch of Yum,88.0,Entree,Italian,5.0 (15 ratings),"Fast, easy, luscious; 30 min weeknight",0,0,,0,0,,0,0,,0,1,Sub cream → full-fat coconut cream for DF,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Sun Dried Tomato Chicken Florentine Pasta,https://pinchofyum.com/sun-dried-tomato-chicken-florentine-pasta,Pinch of Yum,88.0,Entree,Italian,4.0 (66 ratings),30 min; sun-dried tomato cream; ziti + mozzarella,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Chicken,Pasta
