recipe_id,recipe_name,status,ingredients_counted,ingredients_matched,match_rate_pct,open_review_items
Fbr7nBMrtphQCBzJn4d9,Baked Stuffed Tomatoes,needs_review,11,11,100,0
FcKEuHi0LQGNS33rZT2Q,Loaded Bbq Baked Potatoes,needs_review,11,11,100,0
Frpcyy9QbA3hZjFfuMSp,Rosemary White Sweet Potatoes,needs_review,7,7,100,0
Ftmi2C2tH3bRn04RDpua,Smashed Sweet Potatoes,needs_review,9,9,100,0
G3p3c6rryXfr9EefiCMv,Miso Pumpkin Pasta,needs_review,10,10,100,0
G57olNhOWLU59zsfyPC2,Creamy Roasted Cauliflower Soup Recipe,needs_review,10,10,100,0
GDIKp5GZfv9jlxP3ZxWp,Perfect Mashed Potatoes,needs_review,5,5,100,0
GDZ3pxvzFuFvkA4q0AI5,Ground Beef Stir Fry,needs_review,15,15,100,0
GEGtqkr24NjnKHXkM5Kx,Oven Roasted Rosemary Garlic Brick Chicken,needs_review,19,19,100,0
GK2Lwz1nEMoxzYMx0raq,"Lemony Greek Chicken, Spinach and Potato Stew",needs_review,16,16,100,0
GjJlM63ZpuCJC78ROlMy,Cheesy Scalloped Potatoes,needs_review,12,12,100,0
GqE4YVFVO5hCFx6OP90Y,Sautéed Cabbage (Easy & Healthy),needs_review,4,4,100,0
H4Iuhbn5VN3lo0Wuq7TO,Greek Chicken Meatball Bowl,needs_review,20,20,100,0
HHwPnSAEY8MbSwwZY6p4,Cod Bake with Coriander and Lime,needs_review,14,14,100,0
HSHGApSfN1ewzyW7cIFD,Greek Potato Salad,needs_review,15,15,100,0
HcqT2YmFdYFde86Z7Q4u,Ginger Miso Brothy Soup with Crispy Shredded Sesame Tofu,needs_review,19,19,100,0
HhkCalOnKC8L63ZLOWa2,Lemon Garlic Butter Shrimp,needs_review,6,6,100,0
HsBLkjaAOYpIb98HsJ0R,One Pan Herby Chicken and Wild Rice,needs_review,16,16,100,0
HtfYYaa7sVMQ1h7GgjHm,Chicken Piccata,needs_review,11,11,100,0
HuLGcHzs1H7l5qQJOswn,Summer Minestrone Soup,needs_review,18,18,100,0
HvTyIaKHatsiExRuEFUg,Fish Taco Bowl with Cilantro Lime Rice,needs_review,32,32,100,0
HykULxXU0ey778vZKNFJ,Spring Fish Chowder,needs_review,15,15,100,0
I0GloiQm16JqEiE8Pm7V,Chicken Fajita Pasta,needs_review,20,20,100,0
IE4PpcE0C7ZIMqHS0UHb,Quick Pickled Red Onions,needs_review,5,5,100,0
IFWtypzok5l3rKipv9Pu,Lettuce Salad Recipe,needs_review,8,8,100,0
IKGA2kNAwe9fR5TYidfF,French Onion Soup,needs_review,22,22,100,0
IQC3q2iHMMjI8eVAnqE2,Butternut Coconut Noodles,needs_review,24,24,100,0
IhQccOkgQxs8d2UmhaE3,Green Goddess Salmon,needs_review,22,22,100,0
Ijp9mla8RWe5NAfcckP0,Roasted Cauliflower Green Goddess Salad,needs_review,15,15,100,0
IknJIRbt8v4pBn8wNYS6,Creamy Tuscan Chicken,needs_review,16,16,100,0
ImjtcpxuDt5cNIOQoOu0,Potatoes au Gratin (Dauphinoise),needs_review,7,7,100,0
IsVOBGX6bnRv4xJm7ohx,Moroccan Carrot and Lentil Soup,needs_review,18,18,100,0
IxduJ4HWjw69CRkeINX6,Chicken Lo Mein,needs_review,16,16,100,0
IzEEbHzbeSO8a3M3rP8S,Fall Harvest Salad,needs_review,19,19,100,0
Izq7OsJ4k2MJChDx7yBW,Braised Lamb Shank,needs_review,18,18,100,0
JBS9O1RbDwZUUvkXlNM2,Asian Stirfry Vegetables,needs_review,18,18,100,0
JDhVwtpzMxilu7wdcKlj,California Roasted Sweet Potato Kale Salad,needs_review,17,17,100,0
JDn1RFFYkyVsHmP0xzF8,Cilantro Lime Rice,needs_review,10,10,100,0
JJ5dSSLSiIkYCD6SO2s7,Pan Seared Bok Choy,needs_review,6,6,100,0
JL3UZe6odZVZJsh4Sj25,Cashew Chicken,needs_review,10,10,100,0
JNVyScSlt6OTCRDnOAuS,Creme Fraiche Chive Mashed Potatoes,needs_review,5,5,100,0
JOInfwhn1QKSa0Qy7iRe,Mexican Roasted Zucchini,needs_review,8,8,100,0
JQ2rFZeKuW9pX8tWsH2b,Italian Chopped Brussels Sprouts Salad,needs_review,17,17,100,0
JU0XjZiffPZfRUsQKvgZ,Tomato Aguachile,needs_review,12,12,100,0
K5NdPK4X7e0QirbIaoP9,Tagliatelle with Asparagus and Peas,needs_review,18,18,100,0
KDQefQOlJd1Cjo0mBOqj,Sweet Corn with Smoked Paprika Butter,needs_review,7,7,100,0
KOOxMbRMQkunl2FTC5wV,Radicchio Salad,needs_review,18,18,100,0
KP9Xsj33XKTTebKVMy73,Honey Garlic Shrimp,needs_review,16,16,100,0
KZjBmnYM9Cz1qT28TdLb,Spring Orange Asparagus,needs_review,7,7,100,0
KhjMRKnbhv7RyOTt6tTg,Bang Bang Shrimp,needs_review,13,13,100,0
KjZfhHacjHC7usqTReL0,Honey-Soy Braised Pork With Lime and Ginger,needs_review,14,14,100,0
LF6lhlCp0AaQg4M3Uqz3,Baked Meatballs with Orzo in Roasted Pepper Sauce,needs_review,25,25,100,0
LKeAgkw433ztKuxEaQiy,Sheet Pan Lemon Chicken and Potatoes,needs_review,13,13,100,0
LOsjmo9J2TTuJx5Q5ZIh,Mango Pico de Gallo,needs_review,9,9,100,0
LZcOirY25iStkWMVCrPX,Healthy Refried Pinto Beans,needs_review,9,9,100,0
LfHj4qTJaVYXNeXklJ0K,Sautéed Spinach,needs_review,6,6,100,0
LgNwxmsIRtv9yEGrOlr7,Steamed Kale,needs_review,6,6,100,0
LlzqzrcSeCUSJ1gXqw8o,Herby Beef Stew,needs_review,19,19,100,0
MIDFC4VMZfEUywEic81b,Keto Chicken and Broccoli Casserole,needs_review,9,9,100,0
MRL2PHKnxvHKrFcJJLa6,Mediterranean Bean Salad Recipe,needs_review,12,12,100,0
MZ8rjfjXAJfziEP6Fouq,Colcannon,needs_review,15,15,100,0
MgHEG5iVHGxf3ujAU6yj,Spicy Mayo,needs_review,4,4,100,0
MhEn02AXs5uhhN9l6z8X,Bacon Walnut Shaved Brussels Sprout Salad,needs_review,25,25,100,0
Mhdh1JoeQsrHuaOFKyul,Charred Peppers with Feta Tzatziki,needs_review,13,13,100,0
Mx4iMcAFJLBHU8G1e9Fc,Slow Roasted Salmon with Salsa Verde,needs_review,9,9,100,0
MzExZKdJYhsKKUguJfMq,Pan Seared Salmon,needs_review,7,7,100,0
N1Nker0LQvgZsE0hSW6V,Salmon Puttanesca,needs_review,17,17,100,0
N2Bt4s1qMsLaQOFx4RHT,Marry Me Chicken,needs_review,15,15,100,0
N3G9uuOFyHpyYW5bA1Ez,Coconut Shrimp Bowl,needs_review,15,15,100,0
N7VemCTWya5zTN0p2Joc,Spiced Roasted Squash with Pomegranate Molasses and Pistachios,needs_review,16,16,100,0
NYV5ZeccsIy3oWKdMix4,Moroccan Chicken Meatballs,needs_review,20,20,100,0
NfD8FganDST9wVCmpsLJ,Italian Wedding Soup,needs_review,17,17,100,0
NjZl3Kos6bsMVK4RTp8M,Sesame Chicken Salad,needs_review,15,15,100,0
NvptgTPBYKGkHp7iq8bJ,Chinese coleslaw,needs_review,12,12,100,0
O0HKfkE44bZVUTRNH00Y,Chicken Carnitas,needs_review,20,20,100,0
O0Rg90GFWsljAhnmtdxm,Honey Mustard Salmon with Caesar Roasted Potatoes,needs_review,17,17,100,0
O3hFfPHcDobSw0EHVEuP,Twice-Baked Honeynut Squash,needs_review,11,11,100,0
OPQDg3u6MPlIiKsfpA8h,Creamy Garlic Shrimp with Parmesan,needs_review,8,8,100,0
ORc80RCHriVe8qLeROfA,Dressed Up Baked Beans,needs_review,9,9,100,0
Os2ayj0huXBqL9I0N75g,Black Rice,needs_review,3,3,100,0
P9MopQL6CoNk41AJrcQt,Moroccan Meatball Couscous Soup,needs_review,20,20,100,0
PAK5gly0DyxHPkrCw0a6,Honey-Gochujang Shrimp Bowls,needs_review,11,11,100,0
PAKKikXCz5S21Ya2u0wi,Ginger Soy Herb Salad,needs_review,13,13,100,0
PCXgPa7NEr852hq1t5uY,Vegetable Fried Rice,needs_review,12,12,100,0
PHtSQ0iaTyMPBvrO7Cec,Chicken Tinga Tacos,needs_review,16,16,100,0
PTUNsbiypCMxmead0EZD,Greek Yogurt Mashed Potatoes,needs_review,7,7,100,0
PVOd7MD0neHr0yrzIM0A,Easy Sheet Pan Salmon Dinner,needs_review,22,22,100,0
PohABSxmMWPjtErdzRNy,Whipped Mashed Potatoes,needs_review,8,8,100,0
PomNdO9jsj08qPzNGvZY,Chicken Korma,needs_review,19,19,100,0
PsgqPlUWilJoZE6Ihxbv,Creamy Vegan Coconut Chickpea Curry,needs_review,11,11,100,0
Q3hfk7p5OwlNELhsJaq9,Sunday Sauce,needs_review,11,11,100,0
QAt2IEHDUxcub479z5al,Chicken Noodle Casserole,needs_review,11,11,100,0
QKVwGq5Skcn8HCWmnjFl,Authentic Beef Chow Fun,needs_review,20,20,100,0
QPqIzaiONvksPSTMIk1Y,Creamy Tuscan Salmon,needs_review,16,16,100,0
QRVZziXSfir8X1xQDgTL,Carne Asada Bowl,needs_review,27,27,100,0
QWykqdVAZtrseHcOmwdr,Dairy Free Mashed Sweet Potatoes,needs_review,3,3,100,0
Qa8hb7FZyqJ7JoXFaVOn,Garlic Shrimp in Tomato Sauce,needs_review,11,11,100,0
Qc4Q2x9WZfvFD9tLhr18,Chicken Fricassee,needs_review,16,16,100,0
QhMeNAaRPv5Q5YNLpLdW,Mediterranean Cabbage Salad,needs_review,19,19,100,0
QxHNptGPbFcR2txAxx6R,Tarragon Chicken Skewers,needs_review,14,14,100,0
R68WFHFJGJb6IWt4iUse,Smothered Chicken,needs_review,9,9,100,0
RS8YiCcEJ9WN0QjfwSEZ,Cilantro Chicken with Mango Salsa and Cauliflower Rice,needs_review,19,19,100,0
RV84mSdVnTtSttbTMsDM,The Best Instant Pot Mashed Potatoes,needs_review,8,8,100,0
Rx6yQ3Hc1nm1U85YQVA2,Lemon Garlic Baked Cod,needs_review,12,12,100,0
S0f8w6p14wDKFTlDc8qf,Thai Basil Beef,needs_review,14,14,100,0
S2yVKZncRB8Ul1gA7crb,Beef Tenderloin with Mushroom Shiitake Sauce,needs_review,14,14,100,0
S4ApxGZgNMPCbRBq0zwC,Hawaiian Style Mac Salad,needs_review,13,13,100,0
SDpjKiu7Nb8FAaI2LUGV,Traditional Greek Salad Recipe,needs_review,10,10,100,0
SE7Z5qJY4o5dZ7mrSEHv,Steak Lettuce Wraps,needs_review,14,14,100,0
SKFRFLKyQ8Gk4GEWE3SK,Greek Shrimp Grain Bowl,needs_review,20,20,100,0
