"ingredient_name","frequency","example_raw"
"teaspoon sauce","2","1 teaspoon hot sauce (optional)"
"ounce can fire tomatoes","2","1 14 ounce can fire roasted diced tomatoes"
"for the sauce","2","For the sauce"
"cup leafy herbs","2","½ cup fresh leafy herbs (such as parsley, cilantro, dill and/or chives)"
"cup scallions","2","1 cup chopped scallions, (from 5 to 6 scallions, white and green parts separated)"
"cup cherries","2","½ cup dried cherries (or dried cranberries)"
"yellow potatoes","2","3 pounds small yellow potatoes, (scrubbed)"
"pinch of chili flakes","2","Pinch of chili flakes"
"tablespoon red curry paste","2","1 tablespoon red curry paste"
"lb potatoes","2","1 1/2 lb small potatoes (such as new potatoes, Yukon gold potatoes, or red potatoes)"
"-2 avocados","2","1-2  avocados, chopped"
"limes, juiced","2","2  limes, juiced"
"teaspoon all-spice","2","1 teaspoon all-spice"
"pound baby potatoes","2","1 pound baby potatoes, (halved)"
"can green chiles","2","1 (4-ounce) can diced green chiles"
"green part of the scallions","2","Green part of the scallions (thinly sliced)"
"-3 tablespoons taco seasoning","2","2-3 tablespoons taco seasoning"
"green chili","2","1  green chili (chopped, or more to taste)"
"pound carrots","2","1 pound carrots (roughly chopped)"
"cup half half","2","½ cup Half and half"
"oz mushrooms","2","8 oz mushrooms (sliced)"
"cup thai red curry paste","2","1/4 cup Thai red curry paste"
"-2 carrots","2","1-2 large carrots (2 cups grated)"
"oranges","2","2 small oranges"
"-3 tablespoons thai red curry paste","2","1-3 tablespoons Thai red curry paste"
"limes, for serving","2","limes, for serving"
"&#8212;&#8212;-","2","&#8212;&#8212;-"
"italian herbs","2","2 teaspoons dried Italian herbs"
"fire tomatoes","2","2 (28 ounce) cans diced fire roasted tomatoes"
"teaspoon red chili flakes","2","1 teaspoon red chili flakes"
"pickle juice","2","2 tablespoons pickle juice"
"toppings:","2","Toppings:"
"red chilli )","2","Red chilli (, finely sliced, optional (small = spicy, large = less spicy))"
"cup of water","2","1 cup of water"
"can green chilies","2","1 can diced green chilies (optional)"
"cup sundried tomatoes","2","⅓ cup sundried tomatoes (chopped)"
"sheets of nori","2","2 sheets of nori (seaweed)"
"guacamole, for serving","2","Guacamole, for serving"
"navel oranges","2","2 medium navel oranges"
"cup half half )","2","½ cup half and half ((half cream, half milk))"
"tbsp. harissa","2","2 Tbsp. harissa (such as Mina brand)"
"cup snow peas","2","1 cup snow peas"
"sauce","2","2 tablespoons hot sauce"
"carrots, +","2","2  carrots, peeled + chopped"
"cup onions )","2","¾ cup onions (chopped or sliced finely (1 large))"
"teaspoon kasuri methi )","2","½ teaspoon kasuri methi ((dried fenugreek leaves))"
"tbsp thai red curry paste","2","1tbsp Thai Red Curry Paste"
"bunch chives","2","1 Bunch Chives (finely chopped)"
"persian cucumbers cut into bite sized pieces","2","4 persian cucumbers cut into bite sized pieces"
"bunch radishes, cut into bite sized pieces","2","1 bunch radishes, trimmed and cut into bite sized pieces"
"za’atar viniagrette","2","Za’atar Viniagrette"
"za’atar","2","2 teaspoons za’atar"
"g greek yoghurt","2","500g Greek yoghurt"
"scotch bonnet chilli","2","0.25 Scotch Bonnet Chilli"
"red curry paste","2","3 Tablespoons Red Curry Paste (4 tb for spicier)"
"-3 slices jalapeno","2","2-3 slices jalapeno (optional)"
"buns","2","4 toasted buns (hamburger buns, Brioche buns, sourdough buns or gluten-free buns)"
"teaspoon italian herbs","2","1 teaspoon dried Italian herbs"
"jalapenos , in half","1","2 jalapenos (or green chillies), chopped in half"
"teaspoon chilli flakes","1","1 teaspoon chilli flakes"
"tsp. za&#39;atar","1","2 tsp. za&#39;atar"
"g carrots, cut into 1cm chunks","1","200g (3 med carrots) Carrots, peeled and cut into 1cm chunks"
"purple potatoes","1","2 pounds purple potatoes"
"tbsp water )","1","2 Tbsp water ((or sub oil of choice // such as avocado or coconut))"
"yellow or red baby potatoes )","1","3 cups yellow or red baby potatoes ((roughly chopped into bite-size pieces*))"
"sturdy greens )","1","2 cups chopped sturdy greens  ((such as kale or collard greens))"
"spelt dinner rolls","1","Spelt Dinner Rolls"
"green chili )","1","1 small green chili ((optional // I used a serrano pepper // omit for less heat))"
"tbsp green curry paste","1","4 Tbsp Green Curry Paste (DIY or store-bought)"
"chili crisp, for serving","1","chili crisp, for serving"
"of hominy","1","3 (15-ounce) cans of hominy, drained"
"-3 tablespoons jalapeños","1","1-3 tablespoons pickled jalapeños, chopped"
"tablespoon ras-el-hanout","1","1 tablespoon ras-el-hanout"
"to 1/2 cup water","1","1/4 to 1/2 cup water"
"to 15 shallots, if","1","12 to 15 whole medium shallots, peeled, halved if large"
"lb linguini","1","1/2 lb linguini (or any long noodles like fettuccini, spaghetti, etc.)"
"beets, dice","1","2 medium roasted beets, small dice"
"oz can tomatoes","1","14.5 oz can crushed tomatoes"
"bunch mixed carrots, + lengthwise","1","1 bunch mixed carrots, peeled + quartered lengthwise"
"sprigs hard herbs","1","3 large sprigs hard herbs (rosemary, thyme, oregano, etc.)"
"tbsp moroccan spice","1","1 TBSP Moroccan spice"
"shallots, dice","1","2 medium shallots, small dice"
"-4 drops liquid smoke","1","3-4 drops liquid smoke (optional)"
"to 2 chilies","1","1 to 2 small hot chilies optional"
"cup blackberries","1","1 cup fresh blackberries"
"-2 tablespoons water, if necessary","1","1-2 tablespoons water, if necessary"
"lb yukon gold potatoes","1","1 lb Yukon gold potatoes, chopped"
"bunch broccolini","1","1 bunch broccolini"
"green onions, for garnish","1","sliced green onions, for garnish"
"green onions, white green parts separated + greens","1","4 green onions, white and green parts separated + greens thinly sliced"
"green onions plus more for serving","1","4  green onions thinly, sliced, plus more for serving"
"persian cucumbers,* into coins or spears","1","12 ounces Persian cucumbers,* sliced into coins or spears"
"yukon gold potatoes, into 1/8-inch rounds","1","4 pounds Yukon Gold Potatoes, sliced into 1/8-inch rounds"
"leeks, white pale green parts only, tough outer layer removed, into rounds","1","2 large leeks, white and pale green parts only, tough outer layer removed, sliced into ½""-thick rounds"
"cup shelled english peas or peas","1","1 cup shelled fresh English peas (from about 1 lb. pods) or frozen peas, thawed"
"a spice mill or mortar pestle","1","A spice mill or mortar and pestle"
"to carrots, at a diagonal into 2&quot; long pieces","1","4 medium to large carrots, sliced at a diagonal into 2&quot; long pieces"
"cup or green peas","1","1 cup  fresh or frozen green peas"
"house salad","1","House Salad (for serving)"
"to 3 tablespoons chives","1","2 to 3 tablespoons minced fresh chives"
"brioche buns","1","4 brioche buns, toasted"
"pound potatoes, 1/4-inch","1","1 pound small potatoes, sliced about 1/4-inch thick"
"lb.","1","1 lb. boneless (skinless chicken breasts)"
"topping:","1","Topping:"
"cup green chiles","1","1/4 cup green chiles (or 1 jalapeño)"
"tbsp sauce","1","1/2 tbsp hot sauce"
"for toppings:","1","for toppings:"
"mini red potatoes, cut into eights","1","1.5 pounds mini red potatoes, cut into eights"
"for the add-ins:","1","For the add-ins:"
"for the dressing:*","1","For the dressing:*"
"-5 radishes","1","4-5  radishes,  (stems removed, chopped)"
"cup + 6 tablespoons water","1","1  cup + 6 tablespoons water"
"i use this scale.","1","I use this scale."
"to 41/2 cups water","1","4 to 4½ cups water (divided)"
"ají amarillo chiles or 1 tablespoon ají amarillo paste","1","2 whole ají amarillo chiles or 1 tablespoon ají amarillo paste"
"boiled russet or yellow potatoes","1","5 boiled and peeled russet or yellow potatoes (cooled and peeled )"
"turkish, persian or english cucumbers","1","1 1/2 pounds Turkish, Persian or English cucumbers (about 5 cups sliced)"
"-5 scallions","1","4-5 scallions, finely sliced"
"can green chilis","1","1 (4 ounce) can green chilis"
"cup herbs, )","1","¼ cup fresh chopped herbs, (or 1 tablespoon mixed dried herbs (basil, parsley, rosemary, thyme, oregano))"
"russet potatoes**","1","4 pounds russet potatoes** (peeled and sliced to 1/8 inch)"
"jar favorite marinara sauce )","1","1 (28-ounce) jar favorite marinara sauce  ((I like Trader Joe's organic tomato basil))"
"slightly tart apples*, cut into wedges","1","2  firm and slightly tart apples*, peeled and cut into wedges"
"mixed citrus","1","2 pounds mixed citrus (naval, Cara Cara, or blood oranges, and grapefruit)"
"shallots, crosswise into rings","1","2 medium  shallots, thinly sliced crosswise into rings"
"tsp ground saffron","1","1/4 tsp  ground saffron"
"cubes ice","1","2 cubes  ice"
"chili, cut in half","1","1  hot chili, cut in half"
"any other seasoning you like","1","any other seasoning you like (garlic powder, chili powder, nutritional yeast, Old Bay even!)"
"or vegetables to accompany","1","cooked or raw vegetables to accompany (I like roasted broccoli)"
"-4 tablespoons chili paste","1","3-4 tablespoons chili paste"
"/1kg baby potatoes","1","2lbs/1kg baby potatoes"
"bunch radishes","1","1 bunch radishes, quartered"
"heart of romaine","1","1 heart of romaine, shredded"
"cup cognac","1","1/2 cup Cognac"
"carrots, cut into half-moon slices","1","4 large carrots, peeled and cut into half-moon slices"
"pound mushrooms, stemmed, cleaned","1","1/2 pound mushrooms, stemmed, cleaned and quartered"
"any of your other favorite seasonings or marinade.","1","Optional: any of your other favorite seasonings or marinade."
"tablespoon sauce","1","1 tablespoon hot sauce"
"tsp chilli powder )","1","1/2 tsp chilli powder ((adjust spiciness to taste) (Note 2))"
"oz. petite tomatoes )","1","15 oz. petite diced tomatoes ($1.06 (1 can))"
"green onions $0.16)","1","2  green onions (sliced, (optional) $0.16)"
"ten to twelve 8–10"" metal skewers","1"," soaked 30 minutes"""
"teaspoon seafood seasoning","1","1 teaspoon seafood seasoning (like Primal Palate)"
"dates","1","4  dates, (chopped small)"
"water the","1","water the thin (as needed)"
"quarts water","1","2 quarts (8 cups) cold water"
"tomatoes or one","1","2  small tomatoes (such as on the vine or Roma) or one large (such as beefsteak), diced"
"croutons, for serving","1","Croutons, for serving"
"tbsp. mild harissa","1","4 Tbsp. mild harissa, divided (such as Mina brand)"
"pinch of saffron","1","1  Pinch of saffron (- Less than ¼ tsp)"
"cranberries","1","2 Tablespoons dried cranberries (optional)"
"to 4 roma tomatoes","1","3 to 4  Roma tomatoes (very small diced or chopped)"
"cup mixed peas &amp; carrots*","1","1 cup frozen mixed peas &amp; carrots*"
"- 2 lb. russet potatoes","1","1 1/2 - 2 lb. russet potatoes (-about 2 large potatoes peeled and cut into 1 inch cubes)"
"cup half &amp; half","1","1/3 cup half &amp; half"
"head","1","1  head, (or about 1 cup roughly chopped fresh cilantro)"
"white fish","1","1½ pounds white fish, (snapper, cod, etc., sliced into 2-inch strips)"
". yukon gold potatoes, cut into 1/2-inch cubes","1","1.5 lbs. Yukon gold potatoes, cut into 1/2-inch cubes (no need to peel)"
"to 4 carrots","1","3 to 4 medium carrots, peeled and roughly chopped"
"half half, warmed slightly","1","3 cups half and half, warmed slightly"
"chili crunch","1","2 Teaspoons Chili Crunch (optional)"
"lb sweet potatoes, cut into 1/2-inch cubes","1","1.5 lb sweet potatoes, peeled and cut into 1/2-inch cubes"
"oz can of tomatoes","1","14.5 oz can of diced tomatoes, drained (If you want more bite, get a can of diced tomatoes with chilies!)"
"cup white onions","1","½ cup white onions (diced)"
"a couple dashes of sauce*","1","a couple dashes of hot sauce*"
"persian cucumbers, cut into 11/2- inch pieces smashed","1","6 Persian cucumbers, cut into 1½- inch pieces and smashed"
"white sweet potatoes *","1","2 cups peeled, diced white sweet potatoes (or Japanese yam)*"
"long sweet potatoes","1","4  long sweet potatoes (scrubbed, cut into 1-inch-thick rounds)"
"russet or yukon gold potatoes*","1","5 medium Russet or Yukon Gold potatoes* (, peeled, or skin on)"
"yukon gold potatoes , scrubbed into 1/2-inch chunks","1","1 1/2 pounds Yukon gold potatoes (about 3 medium), scrubbed and chopped into 1/2-inch chunks"
"russet or yukon gold potatoes, cut into 1/8-inch-thick slices","1","6  russet or yukon gold potatoes, cut into 1/8-inch-thick slices"
"tbsp. jalapeño","1","2 Tbsp. minced fresh jalapeño"
"petite white or red potatoes","1","2 pounds petite white or red potatoes"
"oil-packed sun tomatoes","1","7 ounces oil-packed sun dried tomatoes (, drained and chopped)"
"scallions, with white green ends separated","1","3 scallions, thinly sliced with white and green ends separated"
"tsp. poultry seasoning","1","2 tsp. poultry seasoning"
"carrots, on the bias","1","3 large carrots, thinly sliced on the bias"
"oz can fire tomatoes","1","1 15 oz (425 g) can fire roasted diced tomatoes"
"leeks, white pale green parts only, tough outer layer removed","1","3 leeks, white and pale green parts only, tough outer layer removed"
"bag sweet peas","1","1 (10-oz.) bag frozen sweet peas, thawed"
"-2 tablespoons sweetener","1","1-2 tablespoons sweetener (such as maple syrup, honey, sugar, etc.)"
"white onions","1","3  white onions"
"yellow onions*","1","3  yellow onions*"
"cup dry vermouth*","1","2/3 cup dry vermouth*"
"-3 drops liquid smoke","1","2-3 drops liquid smoke"
"teaspoon ground chillies","1","½ teaspoon ground chillies"
"-4 green onions, )","1","3-4  green onions, sliced ((plus extra for garnish))"
"chili crisp, for serving )","1","chili crisp, for serving ((optional))"
"tbsp blackened seasoning, or store-bought )","1","1 Tbsp blackened seasoning, homemade or store-bought ((See Post for details))"
"bunch broccolini, ends","1","1 bunch broccolini, ends trimmed"
"green goddess dressing","1","1  Homemade Green Goddess Dressing"
"kg / 2.5 lb starchy potatoes )","1","1.25 kg / 2.5 lb  starchy potatoes (, Russet, Sebago, Maris Piper (Note 2))"
"oz. carrots, cut into 1/2-inch coins","1","12 oz. carrots, peeled and cut into 1/2-inch coins"
"to 4 tbsp. mild harissa, such as mina brand* )","1","3 to 4 Tbsp. mild harissa, such as Mina brand* ((see notes))"
"cup wasabi peas* , for crunch","1","½ cup wasabi peas* (or roasted salted chickpeas), for crunch"
"tablesoons chives","1","3  tablesoons minced chives"
"oz. mixed tomatoes, cut into wedges if","1","8 oz. mixed tomatoes, halved, cut into ½""-thick wedges if large"
"jalapeño, into rounds","1","½ medium jalapeño, thinly sliced into rounds"
"limes then","1","2 limes zested then halved"
"thai sweet sauce","1","3 tablespoons thai sweet sauce"
"cup sparkling water","1","3/4 cup cold sparkling water"
"for the marinade:","1","For the marinade:"
"pound fingerling potatoes, vertically","1","1 pound fingerling potatoes, halved vertically (cubed Yukon Gold potatoes will also work)"
"key limes, juiced","1","5  key limes, juiced (or the juice of 1 regular lime)"
"&frac12; cup water","1","&frac12; cup water"
"a scant 3/4 cup lukewarm water","1","a scant 3/4 cup (165 grams) lukewarm water"
"barlett pears","1","2  Barlett pears, (thinly sliced)"
"cup herbs )","1","1/2 cup fresh herbs   ((chopped basil, thyme + oregano sprigs))"
"lemons juiced","1","2 lemons zested and juiced"
"oranges juiced","1","2 oranges zested and juiced"
"tuscan seasoning","1","2 tablespoons Tuscan Seasoning"
"–4 medjool dates","1","3–4  medjool dates"
"for serving:","1","For serving:"
"a few jalapeno slices","1","A few jalapeno slices"
"cup peaches","1","1/2 cup chopped ripe peaches"
"pound potatoes, cut into 1/2 inch chunks","1","1/2 pound potatoes, cut into 1/2 inch chunks"
"assorted salad greens","1","6 cups assorted salad greens"
"-3 assorted radishes","1","2-3  assorted radishes, thinly sliced"
"pound baby potatoes *","1","1 pound baby potatoes (gold or rainbow work wonderfully!)*"
"for serving","1","For serving"
"italian tomatoes, by hand","1","2 (28-ounce) cans whole peeled Italian tomatoes, crushed by hand"
"peas carrots","1","1 1/2 cups frozen peas and carrots"
"stems scallions","1","3 stems scallions"
"g / 10oz white mushrooms","1","300g / 10oz  white mushrooms (, halved if small, or cut in 4 to 6 if large)"
"brown onions wide)","1","2  medium brown onions (, sliced 0.6cm (1/2in) wide)"
"cup carrots )","1","1 cup grated carrots ((from about 3 medium carrots))"
"cup mangos","1","⅓ Cup Mangos"
"of potatoes","1","5 pounds of potatoes, peeled and halved (see notes)"
"a few sprigs of herbs","1","a few sprigs of herbs (sage, thyme, etc.)"
"togarashi","1","1 1/2 teaspoons togarashi (, optional)"
"juicy tomatoes","1","4  medium juicy tomatoes, (sliced into bite-sized pieces or wedges)"
"handful","1","1  handful  (pitted Kalamata olives)"
"zucchinis, into coins or half moons","1","2 small zucchinis, sliced into coins or half moons"
"vine-ripened tomatoes , cut into 1/3-inch cubes, with their juices","1","5 large vine-ripened tomatoes (1¾ lbs), cut into ⅓-inch cubes, with their juices"
"cup peas carrots","1","1 cup frozen peas and carrots"
"for the mix-ins:","1","For the mix-ins:"
"g rocket","1","60 g (2 oz) rocket"
"bunch of chives for topping","1","1  Bunch of fresh chives for topping"
"jalapeños, stemmed if desired","1","4  large jalapeños, stemmed and seeded if desired"
"scallions, root ends","1","6  scallions, root ends trimmed, thinly sliced"
"cup artichokes","1","1/4 cup Marinated artichokes"
"cup / 240 ml reserved, strained cooking liquid","1","1 cup / 240 ml reserved, strained cooking liquid"
"cup red onions or shallots )","1","1/2 cup chopped red onions or shallots ((about 1 small red onion))"
"-2 tbsp water","1","1-2 tbsp water (to adjust consistency)"
"jalapeño brine","1","2 tablespoons pickled jalapeño brine"
"yukon gold or red potatoes*, cut into 3/4-inch cubes","1","3 pounds Yukon Gold or red potatoes*, cut into 3/4-inch cubes"
"tablespoon ‘nduja paste","1","1 tablespoon ‘nduja paste (optional, can substitute with harissa paste or Italian sausage)"
"chives or shallots/scallions","1","Finely sliced chives or shallots/scallions"
"-3 zest &amp; juice lemons","1","2-3  zest &amp; juice  lemons (about 1/3 cup of lemon juice)"
"handfull herbs","1","1  handfull  chopped herbs"
"russet potatoes )","1","2 pounds russet potatoes ((2 to 3 potatoes))"
"-3 teaspoons chinese 5 spice","1","1-3 teaspoons Chinese 5 spice"
"cup english peas","1","1 cup frozen English peas"
"veg )","1","2 cups frozen diced veg ((carrots, peas, corn mix, Note 4 fresh veg))"
"bunch leeks , cleaned","1","1 bunch leeks (about 3 medium), cleaned and sliced"
"a handful of cranberries","1","a handful of dried cranberries"
"romaine heart, stem removed","1","1 romaine heart, stem removed and chopped"
"-2 peaches","1","1-2  peaches, chopped"
"candied or jalapeños","1","2 tablespoons candied or pickled jalapeños"
"for the slaw:","1","For the slaw:"
"cups carrots","1","2  heaping cups shredded carrots"
"burrito wraps )","1","8 large burrito wraps ((approx. 25cm / 10-inch diameter each))"
"cup guacamole","1","1 cup guacamole (homemade or storebought, 240 ml)"
"sauce or jalapenos","1","hot sauce or diced jalapenos"
"preheat the oven at 250°c or 480°f.","1","Preheat the oven at 250°C or 480°F."
"oz lager like negro modelo*","1","24 oz (2 bottles) dark lager like Negro Modelo*"
"two 6.5 oz cans clams","1","Two 6.5 oz cans clams (drained, juice reserved)"
"batch of italian vinaigrette, or sub with 3/4 cup of your favorite store bought","1","1 batch of homemade Italian Vinaigrette, or sub with 3/4 cup of your favorite store bought"
"tomatoes, on a box grater yielding 4 cups of sauce","1","4 large tomatoes, grated on a box grater yielding about 4 cups of sauce"
"hardy herbs","1","2 sprigs hardy herbs (such as avocado leaves, rosemary, thyme, or bay)"
"sprigs tender herbs","1","3 small sprigs tender herbs (such as epazote, cilantro, basil, or mint)"
"carrots, as desired into 1/2-inch pieces","1","4 medium carrots, peeled as desired and diced into ½-inch pieces"
"baby gold potatoes, or","1","1 ½ pounds baby gold potatoes, halved or quartered"
"one 0.75-ounce package “poultry blend” herbs","1","one 0.75-ounce package “poultry blend” fresh herbs (or approx. 2 sprigs fresh rosemary, 2 sprigs fresh sage, and 10–12 sprigs fresh thyme)"
"of yukon gold potatoes","1","5 pounds of Yukon Gold potatoes (peeled and thinly sliced with a mandolin or a knife)"
"ml boiling water","1","560ml boiling water"
"tsp saffron threads, soaked for 30 minutes in 3 tbsp boiling water","1","1 tsp saffron threads, soaked for 30 minutes in 3 tbsp boiling water"
"g chervil","1","20g chervil, roughly chopped"
"snow peas, strings removed crosswise","1","8 ounces snow peas, strings removed and halved crosswise (about 2 1/2 cups)"
"scallions, white green parts","1","6 scallions, white and green parts thinly sliced"
"bunch chives )","1","1 Bunch Chives (finely chopped (½ cup))"
"bunch green scallions","1","1 bunch green scallions (about 8 scallions)"
"yellow onions )","1","2  medium yellow onions (diced (about 2 cups))"
"piece charcoal","1","1 piece charcoal"
"tablespoon fenugreek leaves","1","1 tablespoon dried fenugreek leaves (kasoori methi)"
". baby yellow potatoes","1","1.5 lbs. baby yellow potatoes"
"tbsp. chives, plus more for garnish","1","2 Tbsp. finely chopped fresh chives, plus more for garnish"
"tablespoon kasuri methi","1","1 tablespoon kasuri methi"
"tablespoon kasuri methi )","1","1 tablespoon kasuri methi ((dried fenugreek leaves))"
"pound white meat fish","1","1 pound white meat fish"
"jalapeño, )","1","1  jalapeño, sliced ((seed if desired))"
"cherries )","1","2 cups fresh cherries  ((30-40 large cherries, some halved, some whole))"
"yukon gold potatoes , scrubbed 1/4-inch","1","1 ½ pounds Yukon Gold potatoes (about 5), scrubbed and sliced 1/4-inch thick"
"-4 tomatoes","1","3-4  medium tomatoes (roughly chopped)"
"to 2 green chili","1","1 to 2  green chili ( slit or chopped)"
"to 3/4 cup water )","1","½ to ¾ cup hot water ((adjust as needed))"
"coconut )","1","2 tablespoons raw coconut ( (fresh or frozen, optional  or use shredded unsweetened coconut))"
"to 1/2 teaspoon shahi jeera )","1","¼ to ½ teaspoon shahi jeera ((leave out if you don&#39;t have))"
"tsp chilli flakes* )","1","1 tsp chilli flakes* ((Note 3))"
"red birds eye chilli","1","1  red birds eye chilli (, deseeded and finely sliced or chopped)"
"can san marzano tomatoes","1","1 (28 ounce) can san marzano tomatoes (crushed by hand)"
"heads romaine","1","2 large heads romaine, (micro-chopped)"
"lb. baby yukon potatoes, in half","1","1 lb. baby yukon potatoes, sliced in half"
"pint of baby bella mushrooms","1","1 pint of baby bella mushrooms"
"juice of 2 to 3 limes","1","Juice of 2 to 3 limes"
"cup coconut","1","1 cup shredded unsweetened coconut"
"any other seasonings you like","1","Any other seasonings you like (I used Simply Organics Adobo)"
"lb haddock","1","1 lb Haddock (or other white fish like cod, halibut, sable or bass)"
"carrots, into strips","1","2 carrots, peeled into strips"
"lb. gold potatoes, cut into bite-sized pieces","1","1 lb. small gold potatoes, cut into bite-sized pieces"
"baby bella mushrooms","1","5 ounces baby bella mushrooms, (trimmed and halved)"
"to 2 lemons","1","1 to 2  large lemons, (halved, for serving)"
"any of these stuffing ideas!","1","Any of these stuffing ideas!"
"pound ziti","1","1 pound uncooked ziti"
"jars marinara sauce","1","2 (28-ounce) jars marinara sauce"
"zucchinis","1","2  large zucchinis"
"-2 tablespoons sauce","1","1-2 Tablespoons hot sauce"
"tablespoon furikake seasoning","1","1 Tablespoon Furikake Seasoning"
"pwwb bbq dry rub, below","1","PWWB BBQ Dry Rub, below"
"red onions, &amp; into 1/8ths","1","2 red onions, peeled &amp; sliced into 1/8ths (with root end in tact)"
"russet potatoes , very","1","2½ pounds Russet potatoes (3 to 4), peeled and sliced very thin"
"lb. onions","1","1/2 lb. onions finely chopped"
"-10 saffron threads","1","5-10 saffron threads (optional)"
