ingredient,issue,raw_example,usda_candidates,your_correction
chinese 5 spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-3 teaspoons Chinese 5 spice,"[SR Legacy] Broccoli, chinese, cooked (fdcId: 169392) | [SR Legacy] Broccoli, chinese, raw (fdcId: 169404) | [Foundation] Restaurant, Chinese, sweet and sour pork (fdcId: 746774) | [Foundation] Restaurant, Chinese, fried rice, without meat (fdcId: 334536) | [FNDDS] Chinese pancake (fdcId: 2708343) | [FNDDS] Broccoli, Chinese, cooked (fdcId: 2709658)",
jamaican green seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","2 Tbsps Jamaican Green seasoning, store-bought or homemade","[SR Legacy] Peas, green, canned, seasoned, solids and liquids (fdcId: 170014) | [SR Legacy] Croutons, seasoned (fdcId: 172752) | [Foundation] Asparagus, green, raw (fdcId: 2710823) | [Foundation] Beet greens, raw (fdcId: 2747653) | [Branded] HOT JAMAICAN JERK SEASONING, JAMAICAN (fdcId: 2420922) | [Branded] JAMAICAN ALL PURPOSE SEASONING, JAMAICAN (fdcId: 2297948)",
doubanjiang,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","3 tablespoons Doubanjiang (, reduce to 2 tablespoons for a less saltier and less spicy taste)","[Branded] CHINESE MABO TOFU SAUCE (fdcId: 1862399) | [Branded] CHINESE MABO TOFU SAUCE, MED.HOT (fdcId: 1862455)",
five-spice powder,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/4 teaspoon five-spice powder,"[SR Legacy] Spices, chili powder (fdcId: 171319) | [SR Legacy] Spices, curry powder (fdcId: 170924) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [FNDDS] Nutritional powder mix (EAS Soy Protein Powder) (fdcId: 2710732) | [FNDDS] Nutritional powder mix (EAS Whey Protein Powder) (fdcId: 2710731)",
herbs de provence,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",½ teaspoon Italian seasoning or Herbs de Provence,"[SR Legacy] Dulce de Leche (fdcId: 173461) | [SR Legacy] Cheese, port de salut (fdcId: 170849) | [Foundation] Beans, Dry, Flor de Mayo (0% moisture) (fdcId: 747432) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Branded] HERB DE PROVENCE PAVE, HERB DE PROVENCE (fdcId: 2548664) | [Branded] HERBES DE PROVENCE VINAIGRETTE, HERBES DE PROVENCE (fdcId: 1946837)",
ground pepper,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Kosher salt and ground pepper (to taste),"[SR Legacy] Chicken, ground, raw (fdcId: 171116) | [SR Legacy] Emu, ground, raw (fdcId: 172832) | [Foundation] Flaxseed, ground (fdcId: 2262075) | [Foundation] Bison, ground, raw (fdcId: 2727571) | [FNDDS] Beef, ground (fdcId: 2705854) | [FNDDS] Veal, ground (fdcId: 2705910)",
dried italian herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 teaspoons dried Italian herbs,"[SR Legacy] Litchis, dried (fdcId: 169087) | [SR Legacy] Longans, dried (fdcId: 169907) | [Foundation] Egg, white, dried (fdcId: 323793) | [Foundation] Egg, whole, dried (fdcId: 329490) | [Branded] LIGHTLY DRIED CHOPPED ITALIAN HERBS (fdcId: 2640879) | [Branded] LIGHTLY DRIED CHOPPED ITALIAN HERBS (fdcId: 2584974)",
kaffir lime leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","2  kaffir lime leaves (, crushed in hand)","[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [FNDDS] Taro leaves, cooked (fdcId: 2709633) | [FNDDS] Grape leaves stuffed with rice (fdcId: 2709064) | [Branded] THAI GINGER GINGER + LEMONGRASS + KAFFIR LIME KOMBUCHA, THAI GINGER GINGER + LEMONGRASS + KAFFIR LIME (fdcId: 2172948) | [Branded] JALAPENO KAFFIR LIME BEER ORIGINAL IPA MUSTARDS, JALAPENO KAFFIR LIME BEER ORIGINAL IPA (fdcId: 2304298)",
chili garlic paste,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1  teaspoon  chili garlic paste (optional),"[SR Legacy] Nuts, almond paste (fdcId: 170160) | [SR Legacy] Seeds, sesame butter, paste (fdcId: 170191) | [Foundation] Tomato, paste, canned, without salt added (fdcId: 2685580) | [Foundation] Garlic, raw (fdcId: 1104647) | [FNDDS] Almond paste (fdcId: 2707535) | [FNDDS] Guava paste (fdcId: 2710307)",
cinnamon sticks,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 cinnamon sticks,"[SR Legacy] APPLEBEE'S, mozzarella sticks (fdcId: 169011) | [SR Legacy] Bacon and beef sticks (fdcId: 174602) | [Foundation] Butter, stick, salted (fdcId: 790508) | [Foundation] Butter, stick, unsalted (fdcId: 789828) | [Branded] CINNAMON STICKS (fdcId: 2127959) | [Branded] CINNAMON STICKS (fdcId: 2144215)",
scotch bonnet chilli,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",0.25 Scotch Bonnet Chilli,"[Branded] SCOTCH BONNET KETCHUP, SCOTCH BONNET (fdcId: 2279104) | [Branded] SCOTCH BONNET PEPPER SAUCE, SCOTCH BONNET (fdcId: 1997082)",
pickled jalapeno,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","optional garnishes: sour cream, avocado, cilantro, scallions, pickled jalapeno, pickled onions","[SR Legacy] Eggplant, pickled (fdcId: 169892) | [SR Legacy] Pickles, cucumber, sweet (includes bread and butter pickles) (fdcId: 169378) | [Foundation] Peppers, jalapeno, seeded, raw (fdcId: 2747661) | [Foundation] Pickles, cucumber, dill or kosher dill (fdcId: 324653) | [Branded] PICKLED JALAPENOS PEPPERS, PICKLED JALAPENOS (fdcId: 2676975) | [Branded] JALAPENO PICKLED JALAPENO SLICED PEPPERS, JALAPENO PICKLED (fdcId: 2676964)",
ras el hanout,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 1/2 tsp Ras El Hanout, divided","[Branded] RAS EL HANOUT (fdcId: 2273152) | [Branded] SPECIALTY, MOROCCAN RAS EL HANOUT SPICE BLEND, MOROCCAN RAS EL HANOUT (fdcId: 2620166)",
seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","any other seasoning you like (garlic powder, chili powder, nutritional yeast, Old Bay even!)","[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [Branded] SEASONING (fdcId: 454421) | [Branded] SEASONING (fdcId: 2440479)",
lard,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/4  cup lard or bacon fat,"[SR Legacy] Lard (fdcId: 171401) | [SR Legacy] Frybread, made with lard (Apache) (fdcId: 167655) | [FNDDS] Lard (fdcId: 2710166) | [FNDDS] Bread, lard, Puerto Rican style (fdcId: 2707608) | [Branded] LARD (fdcId: 2116466) | [Branded] LARD (fdcId: 577716)",
hanger steak,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1½ lb. trimmed hanger, flatiron, or flap (bavette) steak, cut into 1"" cubes","[SR Legacy] CRACKER BARREL, steak fries (fdcId: 167669) | [SR Legacy] DENNY'S, top sirloin steak (fdcId: 167673) | [Foundation] Beef, tenderloin steak, raw (fdcId: 2727573) | [Foundation] Beef, top sirloin steak, raw (fdcId: 2727574) | [Branded] STEAK RUB, STEAK (fdcId: 1956933) | [Branded] STEAK RUB, STEAK (fdcId: 2404197)",
roasted bell peppers,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 jar (10 oz) roasted bell peppers, drained","[SR Legacy] TACO BELL, Nachos (fdcId: 170336) | [SR Legacy] TACO BELL, Bean Burrito (fdcId: 170734) | [Foundation] Peppers, bell, green, raw (fdcId: 2258588) | [Foundation] Peppers, bell, orange, raw (fdcId: 2258591) | [Branded] ROASTED BELL PEPPERS (fdcId: 2680243) | [Branded] ROASTED BELL PEPPERS IN SUNFLOWER OIL, ROASTED BELL PEPPERS (fdcId: 1078253)",
tajin,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-2 tablespoons Tajin or chili powder,"[Branded] CANTALOUPE WITH TAJIN, TAJIN (fdcId: 2389631) | [Branded] MANGO CHUNKS WITH TAJIN, TAJIN (fdcId: 2374397)",
charcoal,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 piece charcoal,"[Branded] CHARCOAL LEMONADE, CHARCOAL (fdcId: 2095483) | [Branded] COCONUT CHARCOAL SUPERADE, COCONUT CHARCOAL (fdcId: 1966124)",
fresh mint leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","3 Tbsp. fresh mint leaves, roughly chopped","[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Foundation] Corn, sweet, yellow and white kernels,  fresh, raw (fdcId: 2710826) | [Branded] MINT JELLY WITH MINT LEAVES (fdcId: 1888119) | [Branded] MINT JELLY WITH LEAVES (fdcId: 2019709)",
beansprouts,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",100 g (3.5 oz) beansprouts,,
bourbon,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons bourbon  ((optional)),"[FNDDS] Cookie, rum ball, no bake (fdcId: 2707962) | [FNDDS] Whiskey and water (fdcId: 2710656) | [Branded] BOURBON CASHEWS, BOURBON (fdcId: 2397928) | [Branded] BOURBON HONEY, BOURBON (fdcId: 2165643)",
chilli,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",a good pinch of chilli (optional),"[Branded] CHILLI POWDER BLEND, CHILLI (fdcId: 2585446) | [Branded] CHILLI AIOLI DRESSING, CHILLI AIOLI (fdcId: 2592984)",
tzakiki sauce,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-2 cups Tzakiki sauce,"[SR Legacy] Sauce, cheese sauce mix, dry (fdcId: 171584) | [SR Legacy] Sauce, barbecue (fdcId: 174523) | [Foundation] Sauce, salsa, ready-to-serve (fdcId: 746777) | [Foundation] Tomato, sauce, canned, with salt added (fdcId: 2685579) | [FNDDS] Beef and potatoes with cream sauce, white sauce or mushroom sauce (fdcId: 2706475) | [FNDDS] Teriyaki sauce (fdcId: 2707445)",
fenugreek leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon fenugreek leaves,"[SR Legacy] Spices, fenugreek seed (fdcId: 171324) | [SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [Branded] FENUGREEK SEEDS (METHI) (fdcId: 2170716) | [Branded] FENUGREEK CHEDDAR GRUYERE NATURAL SEMI-HARD CHEESE, FENUGREEK (fdcId: 2384429)",
dried italian seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/2 teaspoon dried Italian seasoning,"[SR Legacy] Litchis, dried (fdcId: 169087) | [SR Legacy] Longans, dried (fdcId: 169907) | [Foundation] Egg, white, dried (fdcId: 323793) | [Foundation] Egg, whole, dried (fdcId: 329490) | [FNDDS] Peach, dried (fdcId: 2709207) | [FNDDS] Prune, dried (fdcId: 2709211)",
skewers,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",8-10 Pre-soaked Skewers (optional),[Branded] CHICKEN SKEWERS (fdcId: 1998955) | [Branded] BREADED SHRIMP SKEWERS (fdcId: 2430931),
kasoori methi,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons kasoori methi (dried fenugreek leaves),[Branded] PEACOCK KASOORI METHI (fdcId: 1132357) | [Branded] FENUGREEK SEEDS (METHI) (fdcId: 2170716),
lime leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",4-5  lime leaves (optional),"[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Branded] BACON LEAVES TACOSS, BACON LEAVES (fdcId: 2539395) | [Branded] SPEARMINT LEAVES CANDIES, SPEARMINT LEAVES (fdcId: 2619559)",
herbes de provence,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp herbes de provence,"[SR Legacy] Dulce de Leche (fdcId: 173461) | [SR Legacy] Cheese, port de salut (fdcId: 170849) | [Foundation] Beans, Dry, Flor de Mayo (0% moisture) (fdcId: 747432) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [FNDDS] Atole de avena (fdcId: 2710605) | [FNDDS] Atole de chocolate (fdcId: 2710608)",
rosemary leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",fresh rosemary leaves optional for garnish,"[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Branded] ROSEMARY LEAVES (fdcId: 541760) | [Branded] ROSEMARY LEAVES (fdcId: 1967454)",
aleppo pepper flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp. Aleppo pepper flakes ((or 1/4-1/2 tsp. crushed red pepper flakes)),"[SR Legacy] Onions, dehydrated flakes (fdcId: 170002) | [SR Legacy] Breakfast bar, corn flake crust with fruit (fdcId: 167734) | [Foundation] Peppers, bell, green, raw (fdcId: 2258588) | [Foundation] Peppers, bell, orange, raw (fdcId: 2258591) | [FNDDS] Cereal, wheat flakes (fdcId: 2708480) | [FNDDS] Cereal, corn flakes, flavored (fdcId: 2708474)",
carrot tops,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/2 cup carrot tops (small tender leaves) packed or sub 1/2 cup more Italian Parsley,"[SR Legacy] Carrot, dehydrated (fdcId: 170500) | [SR Legacy] Carrots, raw (fdcId: 170393) | [Foundation] Carrots, baby, raw (fdcId: 2258587) | [Foundation] Carrots, frozen, unprepared (fdcId: 746764) | [Branded] CARROT CAKES WITH CRUMB TOPPING, CARROT (fdcId: 2165389) | [Branded] Tip Top Bakery Super Vege Carrot Bread 650g (fdcId: 2317105)",
barberries,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Optional: 1/8 cup barberries,"[Branded] BERRY ALMOND FRUIT + NUT BAR, BERRY ALMOND (fdcId: 2038935) | [Branded] OJIBWA NATIVE AMERICAN CAFFEINE FREE HERBAL TEA BAGS, OJIBWA (fdcId: 2411487)",
za'atar vinaigrette,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Za’atar Viniagrette,"[Branded] ZA'ATAR HOMMUS, ZA'ATAR (fdcId: 2633758) | [Branded] ZA'ATAR SEASONING, ZA'ATAR (fdcId: 2375178)",
aleppo chilli,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","¾ tsp aleppo chilli, or ½ tsp regular chilli flakes","[FNDDS] Hot Thai sauce (fdcId: 2709744) | [Branded] ALEPPO PEPPER (fdcId: 512762) | [Branded] HONEY ALEPPO HEMP SEEDS HEARTS, HONEY ALEPPO (fdcId: 2467409)",
aleppo chilli flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",¼ tsp aleppo chilli flakes,"[SR Legacy] Onions, dehydrated flakes (fdcId: 170002) | [SR Legacy] Breakfast bar, corn flake crust with fruit (fdcId: 167734) | [FNDDS] Cereal, wheat flakes (fdcId: 2708480) | [FNDDS] Cereal, corn flakes, flavored (fdcId: 2708474) | [Branded] ALEPPO PEPPER (fdcId: 512762) | [Branded] HONEY ALEPPO HEMP SEEDS HEARTS, HONEY ALEPPO (fdcId: 2467409)",
shichimi togarashi,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Shichimi Togarashi (to serve),"[Branded] SHICHIMI TOGARASHI GRINDER, SHICHIMI TOGARASHI (fdcId: 1862071) | [Branded] SHICHIMI TOGARASHI JAPANESE SPICE BLEND, SHICHIMI TOGARASHI (fdcId: 1989477)",
thai chilies,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","3-6 Fresno chilies or Thai chilies (spicier!), cut into thin rings","[SR Legacy] APPLEBEE'S, chili (fdcId: 169018) | [SR Legacy] SMART SOUP, Thai Coconut Curry (fdcId: 171183) | [Branded] THAI CHILI SAUCE, THAI CHILI (fdcId: 2102149) | [Branded] THAI CHILI GRAIN MUSTARD, THAI CHILI (fdcId: 1991779)",
thai basil leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 cup Thai basil leaves -or Holy Basil (Tulsi) if you can find it, regular basil will work too","[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Branded] ORGANIC BASIL LEAVES (fdcId: 1983621) | [Branded] THAI BASIL PLANT-BASED CHICK'N, THAI BASIL (fdcId: 2632218)",
bone-in chicken,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",3 1/2 pounds bone-in chicken pieces (or use a 3 1/2 pound chicken cut into 8 pieces),"[SR Legacy] SILK Plus for Bone Health, soymilk (fdcId: 175221) | [SR Legacy] Caribou, bone marrow, raw (Alaska Native) (fdcId: 169800) | [Foundation] Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled (fdcId: 746763) | [Foundation] Chicken, ground, with additives, raw (fdcId: 2514746) | [FNDDS] Pork, bones (fdcId: 2705897) | [FNDDS] Beef, neck bones (fdcId: 2705844)",
ras-el-hanout,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tablespoon ras-el-hanout,"[FNDDS] Cookie, vanilla sandwich, extra filling (fdcId: 2707976) | [FNDDS] Cookie, vanilla sandwich (fdcId: 2707975) | [Branded] RAS EL HANOUT (fdcId: 2273152) | [Branded] SPECIALTY, MOROCCAN RAS EL HANOUT SPICE BLEND, MOROCCAN RAS EL HANOUT (fdcId: 2620166)",
hard herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","3 large sprigs hard herbs (rosemary, thyme, oregano, etc.)","[SR Legacy] Candies, hard (fdcId: 167990) | [SR Legacy] Cheese, parmesan, hard (fdcId: 170848) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] HARD SALAME, HARD (fdcId: 2415498) | [Branded] HARD SALAMI, HARD (fdcId: 2668989)",
moroccan spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 TBSP Moroccan spice,"[SR Legacy] SMART SOUP, Moroccan Chick Pea (fdcId: 171182) | [SR Legacy] Spices, pumpkin pie spice (fdcId: 171332) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [FNDDS] Cake or cupcake, spice (fdcId: 2707885) | [FNDDS] Danish pastry, plain or spice (fdcId: 2708059)",
ají amarillo chiles,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 whole ají amarillo chiles or 1 tablespoon ají amarillo paste,"[SR Legacy] Sauce, hot chile, sriracha (fdcId: 171186) | [SR Legacy] Peppers, hot chile, sun-dried (fdcId: 168570) | [Branded] AJI AMARILLO KETCHUP, AJI AMARILLO (fdcId: 2139838) | [Branded] AJI AMARILLO EVERYTHING SAUCE, AJI AMARILLO EVERYTHING (fdcId: 2217159)",
mixed citrus,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","2 pounds mixed citrus (naval, Cara Cara, or blood oranges, and grapefruit)","[SR Legacy] Beverages,  Energy drink, Citrus (fdcId: 174108) | [SR Legacy] Beverages, Energy drink, VAULT, citrus flavor (fdcId: 171943) | [Foundation] Oranges, raw, navels (fdcId: 746771) | [FNDDS] Fruit juice drink, citrus, carbonated (fdcId: 2710565) | [FNDDS] Fruit juice blend, citrus, 100% juice (fdcId: 2709194) | [Branded] CITRUS DRINK MIX, CITRUS (fdcId: 1727949)",
toasted bread,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","toasted bread or cooked grains, for serving","[SR Legacy] Bread, egg, toasted (fdcId: 172674) | [SR Legacy] Bread, oatmeal, toasted (fdcId: 172679) | [Foundation] Bread, white, commercially prepared (fdcId: 325871) | [Foundation] Bread, whole-wheat, commercially prepared (fdcId: 335240) | [FNDDS] Bread, rye, toasted (fdcId: 2707756) | [FNDDS] Bread, vegetable, toasted (fdcId: 2707651)",
cooked grains,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","toasted bread or cooked grains, for serving","[SR Legacy] Amaranth grain, cooked (fdcId: 170683) | [SR Legacy] Rice, white, medium-grain, cooked, unenriched (fdcId: 168930) | [Foundation] Buckwheat, whole grain (fdcId: 2512378) | [Foundation] Millet, whole grain (fdcId: 2512379) | [FNDDS] Noodles, whole grain, cooked (fdcId: 2708353) | [FNDDS] Pasta, whole grain, cooked (fdcId: 2708358)",
ice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 cubes  ice,"[SR Legacy] Ice cream sandwich (fdcId: 172226) | [SR Legacy] Ice creams, chocolate (fdcId: 168809) | [FNDDS] Icing, white (fdcId: 2710291) | [FNDDS] Icing, chocolate (fdcId: 2710290) | [Branded] ICE (fdcId: 2098889) | [Branded] ICED BROWNIES, ICED (fdcId: 2675376)",
